year,month,fare_capture_method,count,pct
2025,7,Cash,27725,0.22936728548264337
2025,7,Credit Card,10392,0.0859724014692743
2025,7,Farebox Key,32769,0.2710959992057977
2025,7,ID Card,2574,0.021294549786558127
2025,7,Mobile,14717,0.12175287071048016
2025,7,Smart Card,32699,0.27051689334524637
2025,8,Cash,26759,0.18375657524275177
2025,8,Credit Card,10186,0.06994822210929667
2025,8,Farebox Key,59708,0.41002046394088804
2025,8,ID Card,3146,0.02160387853483677
2025,8,Mobile,14906,0.10236090700580956
2025,8,Smart Card,30917,0.21230995316641715
2025,9,Cash,23071,0.1242848677476701
2025,9,Credit Card,9244,0.04979798523945483
2025,9,Farebox Key,103382,0.5569250659914885
2025,9,ID Card,5259,0.028330550018854712
2025,9,Mobile,15798,0.08510477832246943
2025,9,Smart Card,28876,0.1555567526800625
2025,10,Cash,23593,0.12110339446762859
2025,10,Credit Card,9775,0.05017529271059507
2025,10,Farebox Key,108807,0.5585087543694852
2025,10,ID Card,5605,0.0287705898355893
2025,10,Mobile,16940,0.08695339729079085
2025,10,Smart Card,30097,0.15448857132591098
2025,11,Cash,19210,0.1293115054255634
2025,11,Credit Card,7960,0.053582487412154337
2025,11,Farebox Key,75286,0.5067853200140015
2025,11,ID Card,4109,0.027659603112630927
2025,11,Mobile,16338,0.10997872856027356
2025,11,Smart Card,25653,0.17268235547537628
2025,12,Cash,19837,0.15970533773448192
2025,12,Credit Card,8993,0.07240157797278803
2025,12,Farebox Key,28959,0.23314547942999758
2025,12,ID Card,5720,0.04605104258916351
2025,12,Mobile,35084,0.2824571290556316
2025,12,Smart Card,25617,0.20623943321793736
2026,1,Cash,18418,0.13400269198588527
2026,1,Credit Card,9124,0.06638291680308488
2026,1,Farebox Key,27708,0.20159336461857472
2026,1,ID Card,7313,0.05320673724035069
2026,1,Mobile,49629,0.36108261486412746
2026,1,Smart Card,25253,0.183731674487977
2026,2,Cash,18719,0.12971830497903747
2026,2,Credit Card,8908,0.06173036277329268
2026,2,Farebox Key,25030,0.17345206333806867
2026,2,ID Card,8423,0.05836942586881951
2026,2,Mobile,58631,0.40629915803333216
2026,2,Smart Card,24594,0.1704306850074495
2026,3,Cash,21006,0.13857114585394814
2026,3,Credit Card,10289,0.06787387030806781
2026,3,Farebox Key,30977,0.2043472524572861
2026,3,ID Card,8279,0.05461442047628472
2026,3,Mobile,53624,0.3537436506365855
2026,3,Smart Card,27415,0.1808496602678277
