month,route,weekday_monthly_vh,weekday_monthly_ridership,saturday_monthly_vh,saturday_monthly_ridership,sunday_monthly_vh,sunday_monthly_ridership,total_vh,total_ridership
January,1,1555.4,32179,183.4666666666667,5369,91.33333333333333,3453,1830.2,41001
February,1,1414,35167,183.4666666666667,7427,91.33333333333333,3507,1688.8,46101
March,1,1470.7,30253,229.33333333333337,6637,114.16666666666666,4543,1814.2,41433
April,1,1540.7333333333333,34303,183.4666666666667,6344,91.33333333333333,3666,1815.5333333333333,44313
May,1,1470.7,25009,229.33333333333337,3935,91.33333333333333,1905,1791.3666666666666,30849
June,1,1275.2666666666664,20889,182.63333333333335,3233,114.66666666666666,1963,1572.5666666666666,26085
July,1,1568.2333333333333,26045,178.13333333333335,3642,91.33333333333333,1536,1837.7,31223
August,1,1568.2333333333331,34412,222.66666666666669,9041,91.33333333333333,2409,1882.2333333333331,45862
September,1,1425.6666666666665,45026,178.13333333333335,9803,114.16666666666666,7069,1717.9666666666667,61898
October,1,1639.5166666666667,50907,178.13333333333335,8585,91.33333333333333,4341,1908.9833333333333,63833
November,1,1425.6666666666665,37195,222.66666666666669,7942,91.33333333333333,3991,1739.6666666666665,49128
December,1,1476.4790697674418,28378,183.4666666666667,4123,114.16666666666666,2422,1774.1124031007753,34923
January,10,297,1438,0,0,0,0,297,1438
February,10,270,1344,0,0,0,0,270,1344
March,10,283.5,1448,0,0,0,0,283.5,1448
April,10,297,1390,0,0,0,0,297,1390
May,10,283.5,1472,0,0,0,0,283.5,1472
June,10,135,730,0,0,0,0,135,730
July,10,297,1483,52.86666666666667,180,0,0,349.8666666666667,1663
August,10,297,1565,66.08333333333333,205,0,0,363.0833333333333,1770
September,10,270,2045,52.86666666666667,194,0,0,322.8666666666667,2239
October,10,310.5,2214,52.86666666666667,213,0,0,363.3666666666667,2427
November,10,270,1566,66.08333333333333,179,0,0,336.0833333333333,1745
December,10,283.5,1651,0,0,0,0,283.5,1651
January,11,703.2666666666667,9800,91.86666666666667,1238,8.799999999999999,656,803.9333333333333,11694
February,11,639.3333333333333,9780,91.86666666666667,1522,8.799999999999999,593,739.9999999999999,11895
March,11,664.3,10361,114.83333333333334,1924,47,770,826.1333333333333,13055
April,11,695.9333333333333,13876,91.86666666666667,1371,44.8,645,832.5999999999999,15892
May,11,664.3,10082,114.83333333333334,1113,44.8,409,823.9333333333333,11604
June,11,643.4,9968,91.6,1027,33.599999999999994,309,768.6,11304
July,11,703.2666666666667,8278,120.6,1130,44.8,569,868.6666666666666,9977
August,11,703.2666666666667,9777,150.75,2089,44.8,727,898.8166666666666,12593
September,11,639.3333333333333,11810,120.6,2371,56,1606,815.9333333333333,15787
October,11,735.2333333333333,14044,120.6,2054,44.8,845,900.6333333333333,16943
November,11,639.3333333333333,10159,150.75,2125,44.8,669,834.8833333333332,12953
December,11,664.0348484848485,8165,91.86666666666667,827,10.999999999999998,617,766.9015151515151,9609
January,2,1556.1333333333334,36425,156.66666666666666,2357,82.33333333333333,1578,1795.1333333333334,40360
February,2,1414.6666666666667,42003,156.66666666666666,3007,82.33333333333333,1727,1653.6666666666667,46737
March,2,1490.65,37573,195.83333333333331,3584,102.91666666666666,2199,1789.4,43356
April,2,1561.6333333333334,43864,156.66666666666666,3310,82.33333333333333,1925,1800.6333333333334,49099
May,2,1490.65,27450,195.83333333333331,2965,82.33333333333333,1504,1768.8166666666666,31919
June,2,1229.7666666666669,22338,156.83333333333331,2377,103.08333333333334,1561,1489.6833333333334,26276
July,2,1541.466666666667,23997,156,2694,82.33333333333333,1366,1779.8000000000002,28057
August,2,1541.4666666666667,29197,195,3907,82.33333333333333,1362,1818.8,34466
September,2,1401.3333333333335,39815,156,3910,102.91666666666666,3172,1660.2500000000002,46897
October,2,1611.5333333333335,45169,156,3337,82.33333333333333,1995,1849.8666666666668,50501
November,2,1401.3333333333335,35049,195,3833,82.33333333333333,1957,1678.6666666666667,40839
December,2,1477.1751937984498,27745,156.66666666666666,2474,102.91666666666666,1540,1736.7585271317832,31759
January,21,224.00000000000003,9834,0,0,0,0,224.00000000000003,9834
February,21,160.00000000000003,6160,0,0,0,0,160.00000000000003,6160
March,21,198.00000000000003,6549,0,0,0,0,198.00000000000003,6549
April,21,187.00000000000003,6101,0,0,0,0,187.00000000000003,6101
May,21,231.00000000000003,6762,0,0,0,0,231.00000000000003,6762
June,21,99.00000000000001,2621,0,0,0,0,99.00000000000001,2621
August,21,61.25,1243,0,0,0,0,61.25,1243
September,21,245,5668,0,0,0,0,245,5668
October,21,257.25,7178,0,0,0,0,257.25,7178
November,21,183.75,5720,0,0,0,0,183.75,5720
December,21,160.00000000000003,5912,0,0,0,0,160.00000000000003,5912
July,3,12.833333333333332,76,0,0,0,0,12.833333333333332,76
August,3,12.833333333333332,69,0,0,0,0,12.833333333333332,69
September,3,11.666666666666664,41,0,0,0,0,11.666666666666664,41
October,3,13.416666666666664,40,0,0,0,0,13.416666666666664,40
November,3,11.666666666666664,166,0,0,0,0,11.666666666666664,166
July,36,209.36666666666667,588,0,0,0,0,209.36666666666667,588
August,36,211.8666666666667,693,0,0,0,0,211.8666666666667,693
September,36,200.33333333333334,643,0,0,0,0,200.33333333333334,643
October,36,230.38333333333335,793,0,0,0,0,230.38333333333335,793
November,36,200.33333333333334,575,0,0,0,0,200.33333333333334,575
June,4,82.86666666666666,206,0,0,0,0,82.86666666666666,206
July,46,93.5,271,0,0,0,0,93.5,271
August,46,93.5,398,0,0,0,0,93.5,398
September,46,85,309,0,0,0,0,85,309
October,46,17,75,0,0,0,0,17,75
January,5,451,5733,33.333333333333336,396,28.333333333333332,203,512.6666666666666,6332
February,5,410,5072,33.333333333333336,273,28.333333333333332,197,471.66666666666663,5542
March,5,447.65,4510,41.66666666666667,342,35.416666666666664,178,524.7333333333333,5030
April,5,468.96666666666664,5651,33.333333333333336,365,28.333333333333332,196,530.6333333333333,6212
May,5,447.65,5237,41.66666666666667,378,28.333333333333332,156,517.65,5771
June,5,425.4666666666667,4978,38.43333333333334,265,21.25,108,485.15000000000003,5351
July,5,451,4347,77.66666666666667,415,28.333333333333332,178,557,4940
August,5,451,4415,97.08333333333334,597,28.333333333333332,201,576.4166666666667,5213
September,5,410,5515,77.66666666666667,878,35.416666666666664,490,523.0833333333334,6883
October,5,471.5,6420,77.66666666666667,559,28.333333333333332,236,577.5,7215
November,5,410,4779,97.08333333333334,737,28.333333333333332,248,535.4166666666667,5764
December,5,411.79824561403507,5237,33.333333333333336,345,35.416666666666664,272,480.54824561403507,5854
January,56,224.76666666666668,860,0,0,0,0,224.76666666666668,860
February,56,204.33333333333334,736,0,0,0,0,204.33333333333334,736
March,56,198.45,858,0,0,0,0,198.45,858
April,56,207.89999999999998,982,0,0,0,0,207.89999999999998,982
May,56,198.45,858,0,0,0,0,198.45,858
June,56,201.56666666666666,722,0,0,0,0,201.56666666666666,722
July,56,224.76666666666668,946,0,0,0,0,224.76666666666668,946
August,56,224.76666666666668,1029,0,0,0,0,224.76666666666668,1029
September,56,204.33333333333334,1005,0,0,0,0,204.33333333333334,1005
October,56,234.98333333333335,1091,0,0,0,0,234.98333333333335,1091
November,56,204.33333333333334,853,0,0,0,0,204.33333333333334,853
December,56,214.55,652,0,0,0,0,214.55,652
January,6,1018.2333333333333,16886,110.39999999999999,1849,29.666666666666668,310,1158.3000000000002,19045
February,6,925.6666666666666,14362,110.39999999999999,1917,29.666666666666668,274,1065.7333333333333,16553
March,6,968.45,16307,138,2551,37.083333333333336,361,1143.5333333333333,19219
April,6,1014.5666666666667,17566,110.39999999999999,1989,29.666666666666668,279,1154.6333333333334,19834
May,6,968.45,16500,138,2198,29.666666666666668,279,1136.1166666666668,18977
June,6,887.05,15855,111.83333333333333,2035,22.25,252,1021.1333333333333,18142
July,6,1016.4000000000001,17680,124.8,2462,29.666666666666668,409,1170.8666666666668,20551
August,6,1016.4000000000001,17645,156,3199,29.666666666666668,409,1202.0666666666668,21253
September,6,924,17744,124.8,2775,37.083333333333336,608,1085.8833333333332,21127
October,6,1062.6000000000001,19809,124.8,2696,29.666666666666668,289,1217.0666666666668,22794
November,6,924,16402,156,2811,29.666666666666668,289,1109.6666666666667,19502
December,6,965.5217592592592,16633,110.39999999999999,1788,37.083333333333336,387,1113.0050925925925,18808
January,7,866.0666666666667,21141,89.73333333333333,1913,36.333333333333336,592,992.1333333333334,23646
February,7,787.3333333333334,17494,89.73333333333333,2096,36.333333333333336,580,913.4000000000001,20170
March,7,845.6000000000001,19717,112.16666666666667,1863,45.41666666666667,796,1003.1833333333334,22376
April,7,885.8666666666668,22272,89.73333333333333,1594,36.333333333333336,701,1011.9333333333335,24567
May,7,845.6000000000001,24263,112.16666666666667,1898,36.333333333333336,628,994.1000000000001,26789
