month,route,weekday_monthly_vrh,weekday_monthly_ridership,saturday_monthly_vrh,saturday_monthly_ridership,sunday_monthly_vrh,sunday_monthly_ridership,total_vrh,total_ridership
January,1,988.4000000000001,24525,213.08333333333334,4490,87,2764,1288.4833333333333,31779
February,1,941.3333333333334,26115,170.46666666666667,5012,87,3141,1198.8,34268
March,1,1117.35,25724,191.16666666666669,4236,108.75,3347,1417.2666666666667,33307
April,1,1141.4333333333334,29477,198.06666666666666,4943,87,2692,1426.5,37112
May,1,1037.6666666666667,19235,247.58333333333331,3377,108.75,1788,1394,24400
June,1,1147.6666666666667,19249,198.06666666666666,2608,87,1438,1432.7333333333333,23295
July,1,1077.6333333333334,21002,172.66666666666669,3502,87,1660,1337.3000000000002,26164
August,1,1019.0666666666667,28497,215.28333333333336,8260,108.75,4823,1343.1000000000001,41580
September,1,988.4000000000001,37620,170.46666666666667,8609,87,4649,1245.8666666666668,50878
October,1,1082.5333333333333,41838,170.46666666666667,8242,87,4179,1340,54259
November,1,894.2666666666668,28440,213.08333333333334,6742,108.75,4437,1216.1000000000001,39619
December,1,1035.4666666666667,22283,170.46666666666667,3280,87,1822,1292.9333333333334,27385
January,11,589.75,8905,120.83333333333331,1155,0,0,710.5833333333333,10060
February,11,561.6666666666666,10147,96.66666666666666,1368,0,0,658.3333333333333,11515
March,11,520.0833333333333,10160,83.41666666666666,1208,0,0,603.4999999999999,11368
April,11,491.3333333333333,11738,79,1474,0,0,570.3333333333333,13212
May,11,446.66666666666663,6702,98.75,879,0,0,545.4166666666666,7581
June,11,493.16666666666663,6443,79,651,0,0,572.1666666666666,7094
July,11,611.9666666666667,9530,88,906,0,0,699.9666666666667,10436
August,11,585.4833333333333,11288,112.16666666666666,2362,0,0,697.65,13650
September,11,589.75,11697,96.66666666666666,2617,0,0,686.4166666666666,14314
October,11,645.9166666666666,13001,96.66666666666666,2167,0,0,742.5833333333333,15168
November,11,533.5833333333333,8692,120.83333333333331,2066,0,0,654.4166666666665,10758
December,11,617.8333333333333,7101,96.66666666666666,757,0,0,714.4999999999999,7858
January,2,1362.5500000000002,28102,185.83333333333331,2036,78,928,1626.3833333333334,31066
February,2,1297.6666666666667,32227,148.66666666666666,2430,78,1237,1524.3333333333335,35894
March,2,1435.3666666666666,31819,162.66666666666666,2103,99.5,1539,1697.5333333333333,35461
April,2,1437.6999999999998,34683,167.33333333333331,2494,80.66666666666667,1233,1685.6999999999998,38410
May,2,1307,21076,209.16666666666663,2231,100.83333333333334,1000,1616.9999999999998,24307
June,2,1399.4666666666667,20260,167.33333333333331,1722,80.66666666666667,839,1647.4666666666667,22821
July,2,988.9000000000001,22592,148.66666666666666,2445,78,1231,1215.5666666666668,26268
August,2,1043.6166666666668,25910,185.83333333333331,3523,97.5,1919,1326.95,31352
September,2,1362.5500000000002,36914,148.66666666666666,3278,78,1604,1589.216666666667,41796
October,2,1492.3166666666668,40655,148.66666666666666,2761,78,1452,1718.9833333333336,44868
November,2,1232.7833333333335,29368,185.83333333333331,2791,97.5,1523,1516.1166666666668,33682
December,2,1427.4333333333334,24113,148.66666666666666,1673,78,917,1654.1000000000001,26703
January,21,167.83333333333334,5565,0,0,0,0,167.83333333333334,5565
February,21,132.5,4348,0,0,0,0,132.5,4348
March,21,166.5,5643,0,0,0,0,166.5,5643
April,21,148.75,5168,0,0,0,0,148.75,5168
May,21,175,6125,0,0,0,0,175,6125
June,21,96.25,3129,0,0,0,0,96.25,3129
August,21,26.5,684,0,0,0,0,26.5,684
September,21,185.5,7222,0,0,0,0,185.5,7222
October,21,176.66666666666669,7137,0,0,0,0,176.66666666666669,7137
November,21,132.5,5370,0,0,0,0,132.5,5370
December,21,150.16666666666669,5593,0,0,0,0,150.16666666666669,5593
January,4,105.7,667,0,0,0,0,105.7,667
February,4,100.66666666666666,697,0,0,0,0,100.66666666666666,697
March,4,126.88333333333333,836,0,0,0,0,126.88333333333333,836
April,4,131.63333333333333,720,0,0,0,0,131.63333333333333,720
May,4,119.66666666666667,677,0,0,0,0,119.66666666666667,677
June,4,130.5,588,0,0,0,0,130.5,588
July,4,118.06666666666666,424,0,0,0,0,118.06666666666666,426
August,4,111.03333333333333,435,0,0,0,0,111.03333333333333,435
September,4,105.7,751,0,0,0,0,105.7,751
October,4,115.76666666666667,664,0,0,0,0,115.76666666666667,664
November,4,95.63333333333333,628,0,0,0,0,95.63333333333333,628
December,4,110.73333333333333,638,0,0,0,0,110.73333333333333,638
January,5,424.2,5291,45.666666666666664,315,0,0,469.8666666666667,5606
February,5,404,5166,36.53333333333333,256,0,0,440.5333333333333,5422
March,5,381.5,5294,40.03333333333333,311,0,0,421.5333333333333,5605
April,5,363,4956,41.2,383,0,0,404.2,5339
May,5,330,4773,51.5,491,0,0,381.5,5264
June,5,364.3333333333333,4769,41.2,315,0,0,405.5333333333333,5084
July,5,402.6,4183,42.2,313,0,0,444.8,4496
August,5,393.8,4421,51.333333333333336,521,0,0,445.1333333333333,4942
September,5,424.2,6304,36.53333333333333,386,0,0,460.73333333333335,6690
October,5,464.59999999999997,6592,36.53333333333333,452,0,0,501.1333333333333,7044
November,5,383.8,4735,45.666666666666664,557,0,0,429.4666666666667,5292
December,5,444.4,4943,36.53333333333333,247,0,0,480.9333333333333,5190
July,56,199.46666666666667,821,0,0,0,0,199.46666666666667,821
August,56,145.06666666666666,651,0,0,0,0,145.06666666666666,651
January,6,877.1,14651,131,1845,0,0,1008.1,16496
February,6,835.3333333333333,14758,104.8,1705,0,0,940.1333333333332,16463
March,6,947.2,17532,109.3,1783,0,0,1056.5,19315
April,6,955.5333333333334,17322,110.8,2082,0,0,1066.3333333333335,19404
May,6,868.6666666666667,15962,138.5,2114,0,0,1007.1666666666667,18076
June,6,945.6000000000001,16943,110.8,1833,0,0,1056.4,18776
July,6,802.2666666666667,16025,104.6,2017,0,0,906.8666666666667,18042
August,6,792.3,15206,130.79999999999998,2640,0,0,923.0999999999999,17846
September,6,877.1,16853,104.8,2192,0,0,981.9,19045
October,6,960.6333333333333,17572,104.8,2214,0,0,1065.4333333333334,19786
November,6,793.5666666666666,14005,131,2375,0,0,924.5666666666666,16380
December,6,918.8666666666667,14513,104.8,1668,0,0,1023.6666666666666,16181
January,7,735.6999999999999,16430,98.75,1470,0,0,834.4499999999999,17900
February,7,700.6666666666666,16258,79,1324,0,0,779.6666666666666,17582
March,7,746.9333333333333,18822,85.35,1446,0,0,832.2833333333333,20268
April,7,739.9333333333333,19120,87.46666666666667,1707,0,0,827.4,20827
May,7,672.6666666666666,19373,109.33333333333334,1706,0,0,782,21079
June,7,720.6999999999999,16378,87.46666666666667,1408,0,0,808.1666666666666,17786
July,7,599.8666666666667,12349,79.53333333333333,1698,0,0,679.4,14047
August,7,611.4333333333333,13119,99.28333333333333,2599,0,0,710.7166666666666,15718
September,7,735.6999999999999,21619,79,1639,0,0,814.6999999999999,23258
October,7,805.7666666666667,21690,79,1662,0,0,884.7666666666667,23352
November,7,665.6333333333333,16574,98.75,1698,0,0,764.3833333333333,18272
December,7,770.7333333333333,15794,79,1346,0,0,849.7333333333333,17140
January,756,0,0,0,0,18,167,18,167
February,756,0,0,0,0,18,201,18,201
March,756,0,0,0,0,21.5,267,21.5,267
April,756,0,0,0,0,16.666666666666668,155,16.666666666666668,155
May,756,0,0,0,0,20.833333333333336,159,20.833333333333336,159
June,756,0,0,0,0,16.666666666666668,146,16.666666666666668,146
July,756,0,0,0,0,18,163,18,163
August,756,0,0,0,0,22.5,273,22.5,273
September,756,0,0,0,0,18,316,18,316
October,756,0,0,0,0,18,159,18,159
November,756,0,0,0,0,22.5,313,22.5,313
December,756,0,0,0,0,18,199,18,199
January,778,0,0,0,0,23,308,23,308
February,778,0,0,0,0,23,346,23,346
March,778,0,0,0,0,28.75,493,28.75,493
April,778,0,0,0,0,23,366,23,366
May,778,0,0,0,0,28.75,383,28.75,383
June,778,0,0,0,0,23,337,23,337
July,778,0,0,0,0,23,384,23,384
August,778,0,0,0,0,28.75,816,28.75,816
September,778,0,0,0,0,23,488,23,488
October,778,0,0,0,0,23,514,23,514
November,778,0,0,0,0,28.75,488,28.75,488
December,778,0,0,0,0,23,410,23,410
January,8,177.45,2160,43.24999999999999,199,0,0,220.7,2359
February,8,169,2559,34.599999999999994,211,0,0,203.6,2770
March,8,200.63333333333333,2514,37,192,0,0,237.63333333333333,2706
April,8,204.96666666666667,2595,37.8,170,0,0,242.76666666666665,2765
May,8,186.33333333333331,1656,47.25,162,0,0,233.58333333333331,1818
June,8,203.56666666666666,1567,37.8,176,0,0,241.36666666666667,1743
July,8,156.2,1873,35.8,210,0,0,192,2083
August,8,155.85,2093,44.449999999999996,460,0,0,200.29999999999998,2553
September,8,177.45,2711,34.599999999999994,318,0,0,212.04999999999998,3029
October,8,194.35,2899,34.599999999999994,225,0,0,228.95,3124
November,8,160.54999999999998,2382,43.24999999999999,336,0,0,203.79999999999998,2718
December,8,185.89999999999998,1954,34.599999999999994,196,0,0,220.49999999999997,2150
January,86,332.85,3338,0,0,0,0,332.85,3338
February,86,317,3286,0,0,0,0,317,3286
March,86,352.78,3810,0,0,0,0,352.78,3810
April,86,353.97999999999996,3976,0,0,0,0,353.97999999999996,3976
May,86,321.79999999999995,3263,0,0,0,0,321.79999999999995,3263
June,86,358.09999999999997,3277,0,0,0,0,358.09999999999997,3277
July,86,343.20000000000005,2998,0,0,0,0,343.20000000000005,2998
August,86,328.85,2800,0,0,0,0,328.85,2800
September,86,332.85,3485,0,0,0,0,332.85,3485
October,86,364.55,3534,0,0,0,0,364.55,3534
November,86,301.15,2834,0,0,0,0,301.15,2834
December,86,348.7,2899,0,0,0,0,348.7,2899
January,9,549.15,9661,49.25,644,0,0,598.4,10305
February,9,523,9225,39.4,597,0,0,562.4,9822
March,9,580.4000000000001,11091,39.75,712,0,0,620.1500000000001,11803
April,9,581.9000000000001,10993,39.86666666666667,701,0,0,621.7666666666668,11694
May,9,529,9357,49.833333333333336,753,0,0,578.8333333333334,10110
June,9,583.2666666666667,8396,39.86666666666667,538,0,0,623.1333333333333,8934
July,9,600.2333333333333,10378,40,656,0,0,640.2333333333333,11034
August,9,567.2833333333333,8022,49.85,777,0,0,617.1333333333333,8799
September,9,549.15,10442,39.4,612,0,0,588.55,11054
October,9,601.4499999999999,11340,39.4,723,0,0,640.8499999999999,12063
November,9,496.84999999999997,8933,49.25,804,0,0,546.0999999999999,9737
December,9,575.3,9467,39.4,615,0,0,614.6999999999999,10082
January,96,253.05,992,0,0,0,0,253.05,992
February,96,241,1136,0,0,0,0,241,1136
March,96,273.31666666666666,1218,0,0,0,0,273.31666666666666,1218
April,96,275.73333333333335,1310,0,0,0,0,275.73333333333335,1310
May,96,250.66666666666666,1075,0,0,0,0,250.66666666666666,1075
June,96,277.1333333333333,1103,0,0,0,0,277.1333333333333,1103
July,96,193.96666666666667,910,0,0,0,0,193.96666666666667,910
August,96,201.31666666666666,1121,0,0,0,0,201.31666666666666,1121
September,96,253.05,1463,0,0,0,0,253.05,1463
October,96,277.15000000000003,1659,0,0,0,0,277.15000000000003,1659
November,96,228.95000000000002,1145,0,0,0,0,228.95000000000002,1145
December,96,265.1,1020,0,0,0,0,265.1,1020
