year,month,route,stop_id,stop_name,total_boardings,pct_total_boardings,pct_route_boardings,latitude,longitude
2025,July,1,2530427,Williston Road at Mills Avenue,50,4.2725548168783006e-4,0.0018685302141335626,44.46454655929074,-73.1600798058771
2025,July,1,2562322,Downtown Transit Center,7637,0.06525900227299916,0.28539930490676035,44.479731,-73.214298
2025,July,1,4255578,South Burlington City Center,396,0.003383863414967614,0.014798759295937816,44.465916,-73.178304
2025,July,1,4255702,Hinesburg Road at Williston Road,2,1.70902192675132e-5,7.47412085653425e-5,44.465742,-73.171047
2025,July,1,4259370,South Burlington City Center,34,2.905337275477244e-4,0.0012706005456108226,44.465801,-73.178344
2025,July,1,805484,S. Winooski Avenue at Bank Street,1651,0.01410797600533215,0.06169886767069024,44.478387,-73.211225
2025,July,1,805485,Main Street at S. Winooski,369,0.0031531454548561857,0.013789752980305691,44.475929,-73.21056
2025,July,1,805486,Main Street at S. Union Street,267,0.0022815442722130125,0.009977951343473224,44.47603,-73.20863
2025,July,1,805487,Main Street at S. Willard Street,463,0.003956385760429306,0.017302589782876788,44.476129,-73.205639
2025,July,1,805488,Main Street at S. Prospect Street,298,0.0025464426708594673,0.011136440076236032,44.476288,-73.200853
2025,July,1,805490,University Heights,1151,0.009835421188453848,0.04301356552935461,44.47443,-73.19472
2025,July,1,805491,Dorset Street at Williston Road,108,9.228718404457129e-4,0.004036025262528495,44.46822,-73.18168
2025,July,1,805492,Dorset Street at Peoples United Bank,285,0.002435356245620631,0.010650622220561307,44.46717,-73.18152
2025,July,1,805493,University Mall,1939,0.01656896757985405,0.07246160170409956,44.46386,-73.183538
2025,July,1,805500,Williston Road at Heath Street,14,1.1963153487259242e-4,5.231884599573975e-4,44.46633,-73.1689
2025,July,1,805501,Williston Road at Davis Parkway,3,2.5635328901269803e-5,1.1211181284801375e-4,44.46617,-73.16793
2025,July,1,805502,Williston Road at Hayden Parkway,6,5.127065780253961e-5,2.242236256960275e-4,44.46578,-73.16625
2025,July,1,805503,Williston Road at Elsom Parkway,15,1.28176644506349e-4,5.605590642400687e-4,44.46537,-73.16438
2025,July,1,805504,Williston Road at Victoria Drive,20,1.7090219267513202e-4,7.47412085653425e-4,44.46483,-73.16207
2025,July,1,805505,Williston Road at Mills Avenue,29,2.478081793789414e-4,0.0010837475241974662,44.46438,-73.16013
2025,July,1,805516,Hinesburg Road at Williston Road,580,0.004956163587578829,0.021674950483949327,44.46578,-73.17117
2025,July,1,805529,Dorset Street at Barnes & Noble,1834,0.015671731068309606,0.06853768825441907,44.466905,-73.181203
2025,July,1,805530,Williston Road at Sheraton Hotel,250,0.0021362774084391504,0.009342651070667812,44.471703,-73.188163
2025,July,1,805531,University Heights,600,0.0051270657802539605,0.02242236256960275,44.474604,-73.194513
2025,July,1,805533,Main Street at S. Willard Street,34,2.905337275477244e-4,0.0012706005456108226,44.47623,-73.205
2025,July,1,805534,Main Street at S Union Street,55,4.6998102985661307e-4,0.002055383235546919,44.47612,-73.20933
2025,July,1,805535,Main Street at Church Street,1,8.5451096337566e-6,3.737060428267125e-5,44.47602,-73.21237
2025,July,1,805536,Main Street at Pine Street,1,8.5451096337566e-6,3.737060428267125e-5,44.47588,-73.2159
2025,July,1,805537,Battery Street at College Street,10,8.545109633756601e-5,3.737060428267125e-4,44.4766,-73.21867
2025,July,1,805867,Main Street at Summit Street,339,0.002896792165843488,0.012668634851825554,44.4762026495925,-73.2025125186516
2025,July,1,805870,Main Street at Opposite Edmunds School,15,1.28176644506349e-4,5.605590642400687e-4,44.476195,-73.207487
2025,July,1,805875,Main Street at Opposite Summit Street,27,2.3071796011142823e-4,0.0010090063156321237,44.47635535963188,-73.20248690152883
2025,July,1,805895,Marshall Avenue at Harvest Lane,10,8.545109633756601e-5,3.737060428267125e-4,44.445714,-73.117377
2025,July,1,805896,Williston Road at N. Brownell Road,209,0.0017859279134551295,0.007810456295078291,44.45493,-73.12297
2025,July,1,805904,Williston Road at S. Brownell Road,32,2.734435082802112e-4,0.00119585933704548,44.455,-73.12343
2025,July,1,805943,University Mall at Stop sign at Hannafords,561,0.004793806504537453,0.020964909002578573,44.463252,-73.183412
2025,July,1,805946,Williston Road at Staples Plaza,158,0.001350127322133543,0.005904555476662058,44.471708,-73.188722
2025,July,1,805947,Dorset Street at Blue Mall,899,0.007682053560747184,0.03359617325012145,44.46448,-73.18078
2025,July,1,805960,Williston Road at Kennedy Drive,60,5.12706578025396e-4,0.002242236256960275,44.46303,-73.15443
2025,July,1,805964,Marshall Avenue at Trader Lane,467,0.003990566198964333,0.017452072200007475,44.44518,-73.1158
2025,July,1,805973,Marshall Avenue at Hannafords,46,3.9307504315280365e-4,0.0017190477970028776,44.445047,-73.114986
2025,July,1,805974,Walmart,1902,0.016252798523405054,0.07107888934564072,44.442322707648174,-73.12123792821498
2025,July,1,805975,Williston Road at HoHum Motel,94,8.032403055731205e-4,0.0035128368025710978,44.464255,-73.158906
2025,July,1,805976,Williston Road at Thrifty,171,0.0014612137473723789,0.0063903733323367835,44.46355,-73.1558
2025,July,1,805977,Williston Road at Victory Drive,33,2.819886179139678e-4,0.0012332299413281512,44.465096,-73.162601
2025,July,1,805978,Williston Road at Pillsbury Manor,44,3.7598482388529045e-4,0.0016443065884375351,44.465579,-73.164727
2025,July,1,805996,Williston Road at Helena Drive,688,0.0058790354280245415,0.02571097574647782,44.45038,-73.11262
2025,July,1,805997,Williston Road at Blair Park Road,404,0.003452224292037667,0.015097724130199185,44.45255,-73.11755
2025,July,1,806043,Marshall Avenue at Gardeners Supply,3,2.5635328901269803e-5,1.1211181284801375e-4,44.44588,-73.11962
2025,July,1,806044,Harvest Lane at Marshall Avenue,3,2.5635328901269803e-5,1.1211181284801375e-4,44.44467,-73.12133
2025,July,1,806045,Williston Road at Williston Liquidation Center,92,7.861500863056073e-4,0.003438095594005755,44.45728,-73.12797
2025,July,1,806064,Williston Road at Aviation Avenue,22,1.8799241194264522e-4,8.221532942187676e-4,44.46058,-73.14902
2025,July,1,806069,University Mall at Sears,393,0.003358228086066344,0.014686647483089801,44.463197,-73.18201
2025,July,1,806078,Williston Road at VT Tire,15,1.28176644506349e-4,5.605590642400687e-4,44.462,-73.15225
2025,July,1,806079,Williston Road at Ace Hardware,7,5.981576743629621e-5,2.6159422997869877e-4,44.46055,-73.1492
2025,July,1,806080,Williston Road at Talent Skate Park,8,6.83608770700528e-5,2.9896483426137e-4,44.45882,-73.14568
2025,July,1,806081,Williston Road at Shunpike Road,18,1.5381197340761881e-4,6.726708770880825e-4,44.45842,-73.1429
2025,July,1,806082,Williston Road at Engineers Drive,19,1.6235708304137542e-4,7.100414813707538e-4,44.4582,-73.1327
2025,July,1,806083,Williston Road at Commerce Street,4,3.41804385350264e-5,1.49482417130685e-4,44.45337,-73.11968
2025,July,1,806084,Williston Road at Harvest Lane,29,2.478081793789414e-4,0.0010837475241974662,44.4521,-73.11688
2025,July,1,806085,Williston Road at VT 2A,24,2.0508263121015843e-4,8.9689450278411e-4,44.45023,-73.11262
2025,July,1,806086,VT 2A at Key Bank,44,3.7598482388529045e-4,0.0016443065884375351,44.44872,-73.11095
2025,July,1,806087,VT 2A at Wright Avenue,38,3.2471416608275083e-4,0.0014200829627415076,44.44722,-73.11105
2025,July,1,806088,VT 2A at Marshall Avenue (Ponderosa),38,3.2471416608275083e-4,0.0014200829627415076,44.444733,-73.112287
2025,July,1,806096,VT 2A at Connor Way,1236,0.010561755507323158,0.04619006689338167,44.446816,-73.110949
2025,July,1,806112,Williston Road at Miller Lane,141,0.0012048604583596808,0.0052692552038566464,44.45833,-73.13283
2025,July,1,806113,Williston Rd. at Valley Rd,146,0.0012475860065284637,0.005456108225270003,44.45853,-73.142534
2025,July,1,806114,Williston Road at Contact Communication,51,4.3580059132158666e-4,0.0019059008184162337,44.45962,-73.14707
2025,July,1,806115,Williston Road at Kennedy Drive,43,3.6743971425153384e-4,0.0016069359841548638,44.46202,-73.15193
2025,July,1,806116,Williston Road at Stone House Commons,124,0.0010595935945858185,0.004633954931051235,44.466486,-73.168721
2025,July,2,2562322,Downtown Transit Center,6484,0.055406490865277803,0.24386941477358207,44.479731,-73.214298
2025,July,2,4209790,E Allen Street at Hillside Park,180,0.0015381197340761882,0.006769971415676245,44.4930287162322,-73.1758636133916
2025,July,2,805752,Pearl Street at Hungerford Terrace,364,0.003110419906687403,0.01369038664058974,44.480581,-73.207105
2025,July,2,805753,Pearl Street at S. Willard Street,292,0.0024951720130569274,0.010982398074319243,44.480612,-73.205833
2025,July,2,805754,Pearl Street at S Prospect Street (UHC),256,0.0021875480662416897,0.009628403791183992,44.480731,-73.201381
2025,July,2,805755,Colchester Avenue at Mansfield House,228,0.001948284996496505,0.008575297126523244,44.480579,-73.198914
2025,July,2,805756,Colchester Avenue at Fleming Museum,168,0.001435578418471109,0.006318639987964495,44.4805912625953,-73.1968665240963
2025,July,2,805757,UVM Medical Center,3381,0.02889101567173107,0.12716262975778547,44.4786566641105,-73.1939696441803
2025,July,2,805758,Colchester Avenue at Latham Court,43,3.6743971425153384e-4,0.0016172709493004363,44.482512,-73.191938
2025,July,2,805759,Colchester Avenue at Thibault Parkway,49,4.1871037205407346e-4,0.0018429366631563112,44.483129,-73.190514
2025,July,2,805760,Colchester Avenue at 339,23,1.9653752157640183e-4,8.650519031141869e-4,44.484018,-73.188415
2025,July,2,805761,Colchester Avenue at Chase Street,26,2.2217285047767163e-4,9.778847600421243e-4,44.486436,-73.186976
2025,July,2,805762,Colchester Avenue at Barrett Street,48,4.1016526242031685e-4,0.0018053257108469987,44.487802,-73.186696
2025,July,2,805763,Winooski Falls/Champlain Mill,625,0.0053406935210978754,0.023506845193320296,44.49022,-73.18437
2025,July,2,805765,College Parkway at Opposite Florida Avenue,32,2.734435082802112e-4,0.001203550473897999,44.493226,-73.170992
2025,July,2,805766,Saint Michael's College,88,7.519696477705809e-4,0.0033097638032194977,44.49297301724816,-73.16772697628687
2025,July,2,805767,College Parkway at Lime Kiln Road,59,5.041614683916394e-4,0.0022190461862494357,44.492695,-73.163626
2025,July,2,805768,College Parkway at Fanny Allen Hospital,205,0.0017517474749201031,0.007710245223409057,44.497364,-73.158333
2025,July,2,805769,Ethan Allen Avenue at University Lane,74,6.323381128979885e-4,0.0027832104708891228,44.502994,-73.151287
2025,July,2,805770,Ethan Allen Avenue at Catamount Lane,45,3.8452993351904705e-4,0.0016924928539190612,44.503845,-73.150689
2025,July,2,805771,Ethan Allen Avenue at VT Public TV,102,8.716011826431733e-4,0.0038363171355498722,44.50475,-73.149892
2025,July,2,805775,Ethan Allen Avenue at Opposite Green Mt. Nursing,72,6.152478936304753e-4,0.002707988566270498,44.506784,-73.145364
2025,July,2,805776,Ethan Allen Avenue at Essex Avenue (Bld. #310),54,4.6143592022285647e-4,0.0020309914247028733,44.50543,-73.143241
2025,July,2,805777,Pearl Street at West Street Extension,43,3.6743971425153384e-4,0.0016172709493004363,44.49952282479167,-73.13062824322117
2025,July,2,805778,Pearl Street at Opposite Complex 159,18,1.5381197340761881e-4,6.769971415676245e-4,44.497858,-73.127775
2025,July,2,805779,Pearl Street at Opposite Willey's Court,7,5.981576743629621e-5,2.632766661651873e-4,44.4968059911076,-73.1254138552707
2025,July,2,805780,Pearl Street at KFC,9,7.690598670380941e-5,3.3849857078381226e-4,44.496383,-73.124482
2025,July,2,805781,Pearl Street at Capital Lincoln,68,5.810674550954488e-4,0.0025575447570332483,44.495081,-73.121634
2025,July,2,805782,Pearl Street at Roscoe Court (Shopping Center),32,2.734435082802112e-4,0.001203550473897999,44.494046,-73.119419
2025,July,2,805783,Pearl Street at Merchants Bank,7,5.981576743629621e-5,2.632766661651873e-4,44.492685,-73.11657
2025,July,2,805792,Amtrak,1359,0.011612803992275222,0.05111328418835565,44.4924,-73.11022
2025,July,2,805793,Lincoln Street at Brownell Library,511,0.004366551022849623,0.019219196630058673,44.49122,-73.11107
2025,July,2,805794,Pearl Street at Summit Street,77,6.579734417992583e-4,0.0028960433278170604,44.492274,-73.1155
