year,month,route,stop_id,stop_name,total_boardings,latitude,longitude
2025,October,1,2530427,Williston Road at Mills Avenue,65,44.46454655929074,-73.1600798058771
2025,October,1,2562322,Downtown Transit Center,9385,44.479731,-73.214298
2025,October,1,4255578,South Burlington City Center,1074,44.465916,-73.178304
2025,October,1,4255600,Market Street at Garden Street,811,44.464424,-73.175618
2025,October,1,4255601,Market Street at Hinesburg Road,197,44.46339,-73.172066
2025,October,1,4255702,Hinesburg Road at Williston Road,86,44.465742,-73.171047
2025,October,1,805484,S. Winooski Avenue at Bank Street,2726,44.478387,-73.211225
2025,October,1,805485,Main Street at S. Winooski,1247,44.475929,-73.21056
2025,October,1,805486,Main Street at S. Union Street,1185,44.47603,-73.20863
2025,October,1,805487,Main Street at S. Willard Street,1042,44.476129,-73.205639
2025,October,1,805488,Main Street at S. Prospect Street,589,44.476288,-73.200853
2025,October,1,805490,University Heights,9935,44.47443,-73.19472
2025,October,1,805491,Dorset Street at Williston Road,129,44.46822,-73.18168
2025,October,1,805492,Dorset Street at Peoples United Bank,278,44.46717,-73.18152
2025,October,1,805493,University Mall,2553,44.46386,-73.183538
2025,October,1,805500,Williston Road at Heath Street,19,44.46633,-73.1689
2025,October,1,805501,Williston Road at Davis Parkway,19,44.46617,-73.16793
2025,October,1,805502,Williston Road at Hayden Parkway,22,44.46578,-73.16625
2025,October,1,805503,Williston Road at Elsom Parkway,16,44.46537,-73.16438
2025,October,1,805504,Williston Road at Victoria Drive,15,44.46483,-73.16207
2025,October,1,805505,Williston Road at Mills Avenue,23,44.46438,-73.16013
2025,October,1,805516,Hinesburg Road at Williston Road,465,44.46578,-73.17117
2025,October,1,805517,Hinesburg Road at Village Green Drive,146,44.46477,-73.17097
2025,October,1,805529,Dorset Street at Barnes & Noble,5527,44.466905,-73.181203
2025,October,1,805530,Williston Road at Sheraton Hotel,400,44.471703,-73.188163
2025,October,1,805531,University Heights,2888,44.474604,-73.194513
2025,October,1,805533,Main Street at S. Willard Street,77,44.47623,-73.205
2025,October,1,805534,Main Street at S Union Street,22,44.47612,-73.20933
2025,October,1,805535,Main Street at Church Street,1,44.47602,-73.21237
2025,October,1,805536,Main Street at Pine Street,2,44.47588,-73.2159
2025,October,1,805867,Main Street at Summit Street,620,44.4762026495925,-73.2025125186516
2025,October,1,805870,Main Street at Opposite Edmunds School,31,44.476195,-73.207487
2025,October,1,805875,Main Street at Opposite Summit Street,163,44.47635535963188,-73.20248690152883
2025,October,1,805895,Marshall Avenue at Harvest Lane,15,44.445714,-73.117377
2025,October,1,805896,Williston Road at N. Brownell Road,188,44.45493,-73.12297
2025,October,1,805904,Williston Road at S. Brownell Road,56,44.455,-73.12343
2025,October,1,805943,University Mall at Stop sign at Hannafords,844,44.463252,-73.183412
2025,October,1,805944,University Mall at Dorset Street,95,44.46328,-73.18093
2025,October,1,805946,Williston Road at Staples Plaza,407,44.471708,-73.188722
2025,October,1,805947,Dorset Street at Blue Mall,1935,44.46448,-73.18078
2025,October,1,805960,Williston Road at Kennedy Drive,84,44.46303,-73.15443
2025,October,1,805964,Marshall Avenue at Trader Lane,341,44.44518,-73.1158
2025,October,1,805968,Industrial Ave at White Cap Industrial Park,1,44.4613426456702,-73.1237320427928
2025,October,1,805973,Marshall Avenue at Hannafords,62,44.445047,-73.114986
2025,October,1,805974,Walmart,2105,44.442322707648174,-73.12123792821498
2025,October,1,805975,Williston Road at HoHum Motel,176,44.464255,-73.158906
2025,October,1,805976,Williston Road at Thrifty,344,44.46355,-73.1558
2025,October,1,805977,Williston Road at Victory Drive,86,44.465096,-73.162601
2025,October,1,805978,Williston Road at Pillsbury Manor,81,44.465579,-73.164727
2025,October,1,805996,Williston Road at Helena Drive,762,44.45038,-73.11262
2025,October,1,805997,Williston Road at Blair Park Road,428,44.45255,-73.11755
2025,October,1,806011,Cherry Street at Opposite 3 Cathedral Square,1,44.479106,-73.217703
2025,October,1,806045,Williston Road at Williston Liquidation Center,89,44.45728,-73.12797
2025,October,1,806064,Williston Road at Aviation Avenue,26,44.46058,-73.14902
2025,October,1,806069,University Mall at Sears,1005,44.463197,-73.18201
2025,October,1,806078,Williston Road at VT Tire,16,44.462,-73.15225
2025,October,1,806079,Williston Road at Ace Hardware,11,44.46055,-73.1492
2025,October,1,806080,Williston Road at Talent Skate Park,28,44.45882,-73.14568
2025,October,1,806081,Williston Road at Shunpike Road,13,44.45842,-73.1429
2025,October,1,806082,Williston Road at Engineers Drive,31,44.4582,-73.1327
2025,October,1,806083,Williston Road at Commerce Street,31,44.45337,-73.11968
2025,October,1,806084,Williston Road at Harvest Lane,63,44.4521,-73.11688
2025,October,1,806085,Williston Road at VT 2A,44,44.45023,-73.11262
2025,October,1,806086,VT 2A at Key Bank,58,44.44872,-73.11095
2025,October,1,806087,VT 2A at Wright Avenue,82,44.44722,-73.11105
2025,October,1,806088,VT 2A at Marshall Avenue (Ponderosa),56,44.444733,-73.112287
2025,October,1,806096,VT 2A at Connor Way,1246,44.446816,-73.110949
2025,October,1,806112,Williston Road at Miller Lane,110,44.45833,-73.13283
2025,October,1,806113,Williston Rd. at Valley Rd,160,44.45853,-73.142534
2025,October,1,806114,Williston Road at Contact Communication,55,44.45962,-73.14707
2025,October,1,806115,Williston Road at Kennedy Drive,71,44.46202,-73.15193
2025,October,1,806116,Williston Road at Stone House Commons,62,44.466486,-73.168721
2025,October,2,2562322,Downtown Transit Center,8017,44.479731,-73.214298
2025,October,2,4209790,E Allen Street at Hillside Park,193,44.4930287162322,-73.1758636133916
2025,October,2,805595,Shelburne Road at Farrell Street,140,44.450421,-73.208905
2025,October,2,805752,Pearl Street at Hungerford Terrace,1691,44.480581,-73.207105
2025,October,2,805753,Pearl Street at S. Willard Street,707,44.480612,-73.205833
2025,October,2,805754,Pearl Street at S Prospect Street (UHC),596,44.480731,-73.201381
2025,October,2,805755,Colchester Avenue at Mansfield House,1103,44.480579,-73.198914
2025,October,2,805756,Colchester Avenue at Fleming Museum,689,44.4805912625953,-73.1968665240963
2025,October,2,805757,UVM Medical Center,5376,44.4786566641105,-73.1939696441803
2025,October,2,805758,Colchester Avenue at Latham Court,193,44.482512,-73.191938
2025,October,2,805759,Colchester Avenue at Thibault Parkway,93,44.483129,-73.190514
2025,October,2,805760,Colchester Avenue at 339,59,44.484018,-73.188415
2025,October,2,805761,Colchester Avenue at Chase Street,50,44.486436,-73.186976
2025,October,2,805762,Colchester Avenue at Barrett Street,60,44.487802,-73.186696
2025,October,2,805763,Winooski Falls/Champlain Mill,524,44.49022,-73.18437
2025,October,2,805765,College Parkway at Opposite Florida Avenue,42,44.493226,-73.170992
2025,October,2,805766,Saint Michael's College,134,44.49297301724816,-73.16772697628687
2025,October,2,805767,College Parkway at Lime Kiln Road,88,44.492695,-73.163626
2025,October,2,805768,College Parkway at Fanny Allen Hospital,159,44.497364,-73.158333
2025,October,2,805769,Ethan Allen Avenue at University Lane,58,44.502994,-73.151287
2025,October,2,805770,Ethan Allen Avenue at Catamount Lane,49,44.503845,-73.150689
