year,month,route,stop_id,stop_name,municipality,total_boardings,pct_total_boardings,pct_route_boardings,latitude,longitude
2026,July,1,2530427,Williston Road at Mills Avenue,South Burlington,101,9.456131973897331e-4,0.004112042993241593,44.46454655929074,-73.1600798058771
2026,July,1,2562322,Downtown Transit Center,Burlington,6196,0.05801009278244343,0.2522595879814347,44.479731,-73.214298
2026,July,1,4254428,Pearl Street at Opposite North Champlain Street,Burlington,3,2.8087520714546528e-5,1.2213989088836414e-4,44.480227,-73.218169
2026,July,1,4255578,South Burlington City Center,South Burlington,218,0.0020410265052570476,0.008875498737887793,44.465916,-73.178304
2026,July,1,4255600,Market Street at Garden Street,South Burlington,279,0.002612139426452827,0.011359009852617865,44.464424,-73.175618
2026,July,1,4255601,Market Street at Hinesburg Road,South Burlington,64,5.992004419103259e-4,0.002605651005618435,44.46339,-73.172066
2026,July,1,4255602,Market Street at Garden Street,South Burlington,190,0.00177887631192128,0.007735526422929729,44.464565,-73.176005
2026,July,1,4255603,Market Street at Hinesburg Road,South Burlington,37,3.4641275547940716e-4,0.0015063919876231577,44.463335,-73.171739
2026,July,1,4255702,Hinesburg Road at Williston Road,South Burlington,91,8.519881283412447e-4,0.003704910023613712,44.465742,-73.171047
2026,July,1,4259370,South Burlington City Center,South Burlington,156,0.0014605510771564193,0.006351274326194935,44.465801,-73.178344
2026,July,1,4261912,Main Street at Pine Street,Burlington,386,0.003613927665271653,0.015715332627636185,44.475743,-73.215751
2026,July,1,4261913,Main Street at Church Street,Burlington,925,0.00866031888698518,0.03765979969057894,44.47588,-73.212288
2026,July,1,805486,Main Street at S. Union Street,Burlington,1307,0.012236796524637437,0.05321227913036398,44.47603,-73.20863
2026,July,1,805487,Main Street at S. Willard Street,Burlington,515,0.0048216910559971534,0.020967347935835844,44.476129,-73.205639
2026,July,1,805488,Main Street at S. Prospect Street,Burlington,220,0.002059751519066745,0.00895692533181337,44.476288,-73.200853
2026,July,1,805490,University Heights,Burlington,1062,0.009942982332949471,0.043237521374480906,44.474407,-73.194645
2026,July,1,805491,Dorset Street at Williston Road,South Burlington,16,1.4980011047758147e-4,6.514127514046088e-4,44.46822,-73.18168
2026,July,1,805492,Dorset Street at Peoples United Bank,South Burlington,57,5.33662893576384e-4,0.0023206579268789185,44.46717,-73.18152
2026,July,1,805493,University Mall,South Burlington,1635,0.015307698789427858,0.06656624053415845,44.464155,-73.183593
2026,July,1,805500,Williston Road at Heath Street,South Burlington,7,6.55375483339419e-5,2.849930787395163e-4,44.46633,-73.1689
2026,July,1,805501,Williston Road at Davis Parkway,South Burlington,7,6.55375483339419e-5,2.849930787395163e-4,44.46617,-73.16793
2026,July,1,805502,Williston Road at Hayden Parkway,South Burlington,9,8.426256214363958e-5,3.664196726650924e-4,44.46578,-73.16625
2026,July,1,805503,Williston Road at Elsom Parkway,South Burlington,5,4.6812534524244215e-5,2.0356648481394024e-4,44.46537,-73.16438
2026,July,1,805504,Williston Road at Victoria Drive,South Burlington,13,1.2171258976303495e-4,5.292728605162446e-4,44.46483,-73.16207
2026,July,1,805505,Williston Road at Mills Avenue,South Burlington,18,1.6852512428727916e-4,7.328393453301848e-4,44.46438,-73.16013
2026,July,1,805516,Hinesburg Road at Williston Road,South Burlington,516,0.004831053562902003,0.021008061232798633,44.46578,-73.17117
2026,July,1,805517,Hinesburg Road at Village Green Drive,South Burlington,253,0.0023687142469267573,0.010300464131585375,44.46477,-73.17097
2026,July,1,805529,Dorset Street at Barnes & Noble,South Burlington,1380,0.012920259528691403,0.056184349808647505,44.466905,-73.181203
2026,July,1,805530,Williston Road at Sheraton Hotel,South Burlington,234,0.002190826615734629,0.009526911489292402,44.471703,-73.188163
2026,July,1,805531,University Heights,Burlington,589,0.005514516566955968,0.02398013191108216,44.474675,-73.194658
2026,July,1,805533,Main Street at S. Willard Street,Burlington,26,2.434251795260699e-4,0.0010585457210324893,44.47623,-73.205
2026,July,1,805534,Main Street at S Union Street,Burlington,28,2.621501933357676e-4,0.0011399723149580652,44.47612,-73.20933
2026,July,1,805535,Main Street at Church Street,Burlington,31,2.902377140503141e-4,0.0012621122058464294,44.47602,-73.21237
2026,July,1,805536,Main Street at Pine Street,Burlington,21,1.966126450018257e-4,8.54979236218549e-4,44.47588,-73.2159
2026,July,1,805537,Battery Street at College Street,Burlington,30,2.8087520714546526e-4,0.0012213989088836414,44.47669,-73.218674
2026,July,1,805538,Battery Street at Cherry Street,Burlington,1,9.362506904848842e-6,4.071329696278805e-5,44.47899973630009,-73.21883190406265
2026,July,1,805867,Main Street at Summit Street,Burlington,185,0.001732063777397036,0.007531959938115789,44.4762026495925,-73.2025125186516
2026,July,1,805870,Main Street at Opposite Edmunds School,Burlington,26,2.434251795260699e-4,0.0010585457210324893,44.476195,-73.207487
2026,July,1,805875,Main Street at Opposite Summit Street,Burlington,58,5.430254004812329e-4,0.0023613712238417066,44.47635535963188,-73.20248690152883
2026,July,1,805895,Marshall Avenue at Harvest Lane,Williston,7,6.55375483339419e-5,2.849930787395163e-4,44.445714,-73.117377
2026,July,1,805896,Williston Road at N. Brownell Road,Williston,177,0.001657163722158245,0.007206253562413484,44.45493,-73.12297
2026,July,1,805904,Williston Road at S. Brownell Road,Williston,12,1.1235008285818611e-4,4.885595635534566e-4,44.455,-73.12343
2026,July,1,805943,University Mall at Stop sign at Hannafords,South Burlington,618,0.005786029267196584,0.025160817523003014,44.463252,-73.183412
2026,July,1,805946,Williston Road at Staples Plaza,South Burlington,172,0.0016103511876340009,0.007002687077599544,44.471708,-73.188722
