year,month,fare_funding_source,count,pct
2025,7,Agency,12230,0.1013558310680899
2025,7,Fare,68510,0.5677749784525625
2025,7,Fare Cap,16359,0.13557481933302393
2025,7,Partner,23565,0.19529437114632367
2025,8,Agency,10962,0.0753956517851616
2025,8,Fare,67961,0.4674296561732683
2025,8,Fare Cap,13700,0.09422736995591259
2025,8,Partner,52770,0.3629473220856575
2025,9,Agency,6686,0.03606003894009589
2025,9,Fare,63814,0.3441721993603469
2025,9,Fare Cap,11548,0.06228257997012076
2025,9,Partner,103365,0.5574851817294364
2025,10,Agency,7100,0.0364809733740276
2025,10,Fare,62064,0.3188950889416407
2025,10,Fare Cap,13840,0.07111220725303409
2025,10,Partner,111618,0.5735117304312976
2025,11,Agency,4309,0.02905028686231283
2025,11,Fare,50024,0.3372503016942068
2025,11,Fare Cap,13313,0.08975318380087507
2025,11,Partner,80683,0.5439462276426053
2025,12,Agency,4145,0.033473310183315834
2025,12,Fare,52916,0.427327788096584
2025,12,Fare Cap,13187,0.1064927723491884
2025,12,Partner,53582,0.43270612937091174
2026,1,Agency,3824,0.027907112518792056
2026,1,Fare,52340,0.38197130471589336
2026,1,Fare Cap,12545,0.09155196823960417
2026,1,Partner,68317,0.49856961452571047
2026,2,Agency,2435,0.016934064940574298
2026,2,Fare,51316,0.3568741176552405
2026,2,Fare Cap,13341,0.09277920343827585
2026,2,Partner,76701,0.5334126139659093
2026,3,Agency,2132,0.014064252259383864
2026,3,Fare,57492,0.3792598456362557
2026,3,Fare Cap,15534,0.10247377795369088
2026,3,Partner,76432,0.5042021241506696
2026,4,Agency,2217,0.013853998725207154
2026,4,Fare,61399,0.383681401772212
2026,4,Fare Cap,11026,0.06890130353817504
2026,4,Partner,85384,0.5335632959644058
2026,5,Agency,2022,0.015867286081988827
2026,5,Fare,53361,0.4187409755791324
2026,5,Fare Cap,14641,0.11489264862828803
2026,5,Partner,57408,0.45049908971059077
2026,6,Agency,2504,0.021052454578320345
2026,6,Fare,63801,0.5364088077282014
2026,6,Fare Cap,10789,0.09070883883606158
2026,6,Partner,41847,0.3518298988574167
