year,month,fare_group,count,pct
2025,7,Discounted Fare,63264,0.5233793308845428
2025,7,Regular Fare,34043,0.2816357258678315
2025,7,Sponsored Fare,23569,0.19498494324762566
2025,8,Discounted Fare,59373,0.40771998736454657
2025,8,Regular Fare,33454,0.22973177129829284
2025,8,Sponsored Fare,52795,0.36254824133716057
2025,9,Discounted Fare,50908,0.2742444647955611
2025,9,Regular Fare,31346,0.1688627915746377
2025,9,Sponsored Fare,103376,0.5568927436298012
2025,10,Discounted Fare,52752,0.27077719090223135
2025,10,Regular Fare,30412,0.15610547334164884
2025,10,Sponsored Fare,111653,0.5731173357561199
2025,11,Discounted Fare,42783,0.28799240690379385
2025,11,Regular Fare,25053,0.16864347451466113
2025,11,Sponsored Fare,80720,0.543364118581545
2025,12,Discounted Fare,42148,0.3393285564769342
2025,12,Regular Fare,28255,0.227477658803639
2025,12,Sponsored Fare,53807,0.43319378471942677
2026,1,Discounted Fare,39451,0.28703117610680634
2026,1,Regular Fare,29429,0.21411473680381243
2026,1,Sponsored Fare,68565,0.4988540870893812
2026,2,Discounted Fare,37708,0.26130764699767856
2026,2,Regular Fare,29516,0.2045389972627421
2026,2,Sponsored Fare,77081,0.5341533557395793
2026,3,Discounted Fare,42102,0.2777359984167821
2026,3,Regular Fare,33056,0.21806187743254832
2026,3,Sponsored Fare,76432,0.5042021241506696
