year,month,fare_group,route,count,pct
2025,7,Discount,1,11629,0.4352007784139815
2025,7,Discount,2,9564,0.35763966793807495
2025,7,Discount,4,193,0.44883720930232557
2025,7,Discount,5,2435,0.527856058963798
2025,7,Discount,6,9571,0.5198240278079513
2025,7,Discount,7,7630,0.5311890838206628
2025,7,Discount,8,1077,0.5084985835694051
2025,7,Discount,9,5550,0.4921085298811846
2025,7,Discount,11,2036,0.19193061840120665
2025,7,Discount,86,322,0.12019410227696901
2025,7,Discount,96,642,0.36250705815923207
2025,7,Freeride,1,1007,0.03768571535496426
2025,7,Freeride,2,1008,0.037693515817814674
2025,7,Freeride,4,32,0.07441860465116279
2025,7,Freeride,5,285,0.06178192065900715
2025,7,Freeride,6,1255,0.06816206821638063
2025,7,Freeride,7,792,0.05513784461152882
2025,7,Freeride,8,121,0.05712936732766761
2025,7,Freeride,9,1976,0.17520837027841815
2025,7,Freeride,11,5143,0.48482277526395173
2025,7,Freeride,86,84,0.03135498320268757
2025,7,Freeride,96,123,0.06945228684359118
2025,7,Regular,1,8336,0.31196437259084614
2025,7,Regular,2,7437,0.2781018622391743
2025,7,Regular,4,130,0.3023255813953488
2025,7,Regular,5,1277,0.2768263602861478
2025,7,Regular,6,5477,0.2974690419291766
2025,7,Regular,7,4016,0.27958785853522694
2025,7,Regular,8,349,0.1647780925401322
2025,7,Regular,9,2901,0.2572264585919489
2025,7,Regular,11,1770,0.1668552036199095
2025,7,Regular,86,1368,0.5106382978723404
2025,7,Regular,96,746,0.4212309429700734
2025,7,School or University or Employer Sponsored,1,5749,0.21514913364020807
2025,7,School or University or Employer Sponsored,2,8733,0.32656495400493607
2025,7,School or University or Employer Sponsored,4,75,0.1744186046511628
2025,7,School or University or Employer Sponsored,5,616,0.13353566009104703
2025,7,School or University or Employer Sponsored,6,2109,0.11454486204649142
2025,7,School or University or Employer Sponsored,7,1926,0.13408521303258145
2025,7,School or University or Employer Sponsored,8,571,0.2695939565627951
2025,7,School or University or Employer Sponsored,9,851,0.07545664124844831
2025,7,School or University or Employer Sponsored,11,1659,0.15639140271493213
2025,7,School or University or Employer Sponsored,86,905,0.337812616648003
2025,7,School or University or Employer Sponsored,96,260,0.14680971202710333
2025,8,Discount,1,11392,0.2705938242280285
2025,8,Discount,2,9723,0.3053130691452616
2025,8,Discount,4,189,0.4315068493150685
2025,8,Discount,5,2403,0.4776386404293381
2025,8,Discount,6,8486,0.46796073673761995
2025,8,Discount,7,7071,0.4427676894176581
2025,8,Discount,8,930,0.3611650485436893
2025,8,Discount,9,4711,0.5272523782876329
2025,8,Discount,11,1988,0.1432896064581231
2025,8,Discount,86,329,0.12668463611859837
2025,8,Discount,96,627,0.34910913140311806
2025,8,Freeride,1,1203,0.02857482185273159
2025,8,Freeride,2,1145,0.03595427997236702
2025,8,Freeride,4,29,0.06621004566210045
2025,8,Freeride,5,338,0.06718346253229975
2025,8,Freeride,6,1378,0.07598985331421639
2025,8,Freeride,7,635,0.03976205385097057
2025,8,Freeride,8,74,0.028737864077669904
2025,8,Freeride,9,510,0.05707890318970341
2025,8,Freeride,11,5136,0.3701888424390947
2025,8,Freeride,86,47,0.01809780515979977
2025,8,Freeride,96,82,0.045657015590200446
2025,8,Regular,1,8569,0.20353919239904988
2025,8,Regular,2,7671,0.2408779752559191
2025,8,Regular,4,144,0.3287671232876712
2025,8,Regular,5,1264,0.25124229775392565
2025,8,Regular,6,5454,0.3007610014337708
2025,8,Regular,7,3711,0.23237319974953036
2025,8,Regular,8,288,0.11184466019417476
2025,8,Regular,9,2474,0.27688864017907105
2025,8,Regular,11,1693,0.12202681274326077
2025,8,Regular,86,1191,0.45860608394301117
2025,8,Regular,96,708,0.39420935412026725
2025,8,School or University or Employer Sponsored,1,20936,0.49729216152019
2025,8,School or University or Employer Sponsored,2,13307,0.4178546756264523
2025,8,School or University or Employer Sponsored,4,76,0.1735159817351598
2025,8,School or University or Employer Sponsored,5,1026,0.2039355992844365
2025,8,School or University or Employer Sponsored,6,2816,0.15528840851439285
2025,8,School or University or Employer Sponsored,7,4553,0.28509705698184096
2025,8,School or University or Employer Sponsored,8,1283,0.498252427184466
2025,8,School or University or Employer Sponsored,9,1240,0.1387800783435926
2025,8,School or University or Employer Sponsored,11,5057,0.3644947383595214
2025,8,School or University or Employer Sponsored,86,1030,0.39661147477859066
2025,8,School or University or Employer Sponsored,96,379,0.21102449888641425
2025,9,Discount,1,10400,0.20234250359936184
2025,9,Discount,2,9050,0.21468390463764678
2025,9,Discount,4,212,0.2800528401585205
2025,9,Discount,5,2329,0.34361168486279137
2025,9,Discount,6,7706,0.3983664185277089
2025,9,Discount,7,6043,0.25770821783444925
2025,9,Discount,8,933,0.3057011795543906
2025,9,Discount,9,4374,0.39060546526165385
2025,9,Discount,11,2005,0.1390237137706282
2025,9,Discount,86,334,0.10918600849950964
2025,9,Discount,96,457,0.3063002680965147
2025,9,Freeride,1,1272,0.02474804467099887
2025,9,Freeride,2,1253,0.029723638951488555
2025,9,Freeride,4,25,0.03302509907529723
2025,9,Freeride,5,351,0.05178518737090587
2025,9,Freeride,6,1086,0.05614143920595534
2025,9,Freeride,7,977,0.04166488976075739
2025,9,Freeride,8,119,0.0389908256880734
2025,9,Freeride,9,587,0.05242007501339525
2025,9,Freeride,11,496,0.03439190126196089
2025,9,Freeride,86,73,0.02386400784570121
2025,9,Freeride,96,72,0.04825737265415549
2025,9,Regular,1,7857,0.15286587026732557
2025,9,Regular,2,7073,0.1677855533151465
2025,9,Regular,4,165,0.21796565389696168
2025,9,Regular,5,1258,0.18560047211566835
2025,9,Regular,6,5361,0.2771401985111663
2025,9,Regular,7,3086,0.1316047592647874
2025,9,Regular,8,256,0.08387942332896461
2025,9,Regular,9,2574,0.22986247544204322
2025,9,Regular,11,1563,0.10837609208154209
2025,9,Regular,86,1417,0.463223275580255
2025,9,Regular,96,532,0.35656836461126007
2025,9,School or University or Employer Sponsored,1,31869,0.6200435814623138
2025,9,School or University or Employer Sponsored,2,24779,0.5878069030957181
2025,9,School or University or Employer Sponsored,4,355,0.46895640686922063
2025,9,School or University or Employer Sponsored,5,2840,0.4190026556506344
2025,9,School or University or Employer Sponsored,6,5191,0.2683519437551696
2025,9,School or University or Employer Sponsored,7,13343,0.5690221331400059
2025,9,School or University or Employer Sponsored,8,1744,0.5714285714285714
2025,9,School or University or Employer Sponsored,9,3663,0.32711198428290766
2025,9,School or University or Employer Sponsored,11,10358,0.7182082928858688
2025,9,School or University or Employer Sponsored,86,1235,0.40372670807453415
2025,9,School or University or Employer Sponsored,96,431,0.28887399463806973
2025,10,Discount,1,10664,0.195136233050925
2025,10,Discount,2,8862,0.19678902138431817
2025,10,Discount,4,219,0.3323216995447648
2025,10,Discount,5,2322,0.32357859531772576
2025,10,Discount,6,8351,0.41910067248820637
2025,10,Discount,7,6303,0.26731413545951904
2025,10,Discount,8,921,0.2955712451861361
2025,10,Discount,9,4688,0.38473533032416907
2025,10,Discount,11,2214,0.14494271685761048
2025,10,Discount,86,394,0.11835386001802344
2025,10,Discount,96,414,0.2519780888618381
2025,10,Freeride,1,1216,0.022251093341140733
2025,10,Freeride,2,1373,0.030488752692469968
2025,10,Freeride,4,28,0.042488619119878605
2025,10,Freeride,5,347,0.04835562987736901
2025,10,Freeride,6,1060,0.053196828264578944
2025,10,Freeride,7,1014,0.043004368293820774
2025,10,Freeride,8,81,0.025994865211810013
2025,10,Freeride,9,671,0.0550677061961428
2025,10,Freeride,11,755,0.04942716857610475
2025,10,Freeride,86,70,0.021027335536197057
2025,10,Freeride,96,50,0.030432136335970784
2025,10,Regular,1,7933,0.14516276601584657
2025,10,Regular,2,6082,0.13505651411187353
2025,10,Regular,4,177,0.26858877086494687
2025,10,Regular,5,1317,0.18352842809364547
2025,10,Regular,6,5268,0.2643781993375489
2025,10,Regular,7,3335,0.14143941642987404
2025,10,Regular,8,256,0.0821566110397946
2025,10,Regular,9,2582,0.2118998768978252
2025,10,Regular,11,1456,0.09531914893617022
2025,10,Regular,86,1390,0.41754280564734153
2025,10,Regular,96,472,0.2872793670115642
2025,10,School or University or Employer Sponsored,1,34836,0.6374499075920876
2025,10,School or University or Employer Sponsored,2,28716,0.6376657118113384
2025,10,School or University or Employer Sponsored,4,235,0.3566009104704097
2025,10,School or University or Employer Sponsored,5,3190,0.4445373467112598
2025,10,School or University or Employer Sponsored,6,5247,0.26332429990966577
2025,10,School or University or Employer Sponsored,7,12927,0.5482420798167861
2025,10,School or University or Employer Sponsored,8,1858,0.5962772785622593
2025,10,School or University or Employer Sponsored,9,4244,0.3482970865818629
2025,10,School or University or Employer Sponsored,11,10850,0.7103109656301145
2025,10,School or University or Employer Sponsored,86,1475,0.44307599879843795
2025,10,School or University or Employer Sponsored,96,707,0.4303104077906269
2025,11,Discount,1,8933,0.22312418823059246
2025,11,Discount,2,7257,0.21391934913335692
2025,11,Discount,4,176,0.27892234548335976
2025,11,Discount,5,1829,0.33926915229085514
2025,11,Discount,6,7334,0.44093067997354657
2025,11,Discount,7,5516,0.2989539862338085
2025,11,Discount,8,930,0.3401609363569861
2025,11,Discount,9,3751,0.38023314749113024
2025,11,Discount,11,1789,0.16554085315073563
2025,11,Discount,86,279,0.11948608137044968
2025,11,Discount,96,330,0.28350515463917525
2025,11,Freeride,1,618,0.015436107503247077
2025,11,Freeride,2,1027,0.030273552647093502
2025,11,Freeride,4,21,0.03328050713153724
2025,11,Freeride,5,228,0.042292710072342796
2025,11,Freeride,6,654,0.03931942523898275
2025,11,Freeride,7,427,0.023142377106931875
2025,11,Freeride,8,142,0.05193855157278712
2025,11,Freeride,9,532,0.05392802838317284
2025,11,Freeride,11,218,0.020172110669010826
2025,11,Freeride,86,28,0.011991434689507495
2025,11,Freeride,96,56,0.048109965635738834
