route,month,stat,value,service_days
1,July,Weekday Ridership,26045,22
1,July,Saturday Ridership,3642,4
1,July,Sunday Ridership,1536,4
1,July,Total Ridership,31223,30
1,July,Total Vehicle Hours,1837.7,30
1,July,Weekday Vehicle Hours,1568.2333333333333,22
1,July,Saturday Vehicle Hours,178.13333333333335,4
1,July,Sunday Vehicle Hours,91.33333333333333,4
2,July,Weekday Ridership,23997,22
2,July,Saturday Ridership,2694,4
2,July,Sunday Ridership,1366,4
2,July,Total Ridership,28057,30
2,July,Total Vehicle Hours,1779.8000000000002,30
2,July,Weekday Vehicle Hours,1541.466666666667,22
2,July,Saturday Vehicle Hours,156,4
2,July,Sunday Vehicle Hours,82.33333333333333,4
3,July,Weekday Ridership,76,22
3,July,Total Ridership,76,22
3,July,Total Vehicle Hours,12.833333333333332,22
3,July,Weekday Vehicle Hours,12.833333333333332,22
5,July,Weekday Ridership,4347,22
5,July,Saturday Ridership,415,4
5,July,Sunday Ridership,178,4
5,July,Total Ridership,4940,30
5,July,Total Vehicle Hours,557,30
5,July,Weekday Vehicle Hours,451,22
5,July,Saturday Vehicle Hours,77.66666666666667,4
5,July,Sunday Vehicle Hours,28.333333333333332,4
6,July,Weekday Ridership,17680,22
6,July,Saturday Ridership,2462,4
6,July,Sunday Ridership,409,4
6,July,Total Ridership,20551,30
6,July,Total Vehicle Hours,1170.8666666666668,30
6,July,Weekday Vehicle Hours,1016.4000000000001,22
6,July,Saturday Vehicle Hours,124.8,4
6,July,Sunday Vehicle Hours,29.666666666666668,4
7,July,Weekday Ridership,13097,22
7,July,Saturday Ridership,1898,4
7,July,Sunday Ridership,664,4
7,July,Total Ridership,15659,30
7,July,Total Vehicle Hours,903.6666666666666,30
7,July,Weekday Vehicle Hours,764.1333333333332,22
7,July,Saturday Vehicle Hours,103.2,4
7,July,Sunday Vehicle Hours,36.333333333333336,4
8,July,Weekday Ridership,3398,22
8,July,Saturday Ridership,485,4
8,July,Sunday Ridership,117,4
8,July,Total Ridership,4000,30
8,July,Total Vehicle Hours,444.03333333333336,30
8,July,Weekday Vehicle Hours,356.03333333333336,22
8,July,Saturday Vehicle Hours,59.800000000000004,4
8,July,Sunday Vehicle Hours,28.2,4
9,July,Weekday Ridership,10267,22
9,July,Saturday Ridership,1017,4
9,July,Total Ridership,11284,26
9,July,Total Vehicle Hours,729.8333333333333,26
9,July,Weekday Vehicle Hours,663.3,22
9,July,Saturday Vehicle Hours,66.53333333333333,4
10,July,Weekday Ridership,1483,22
10,July,Saturday Ridership,180,4
10,July,Total Ridership,1663,26
10,July,Total Vehicle Hours,349.8666666666667,26
10,July,Weekday Vehicle Hours,297,22
10,July,Saturday Vehicle Hours,52.86666666666667,4
11,July,Weekday Ridership,8278,22
11,July,Saturday Ridership,1130,4
11,July,Sunday Ridership,569,4
11,July,Total Ridership,9977,30
11,July,Total Vehicle Hours,868.6666666666666,30
11,July,Weekday Vehicle Hours,703.2666666666667,22
11,July,Saturday Vehicle Hours,120.6,4
11,July,Sunday Vehicle Hours,44.8,4
36,July,Weekday Ridership,588,22
36,July,Total Ridership,588,22
36,July,Total Vehicle Hours,209.36666666666667,22
36,July,Weekday Vehicle Hours,209.36666666666667,22
46,July,Weekday Ridership,271,22
46,July,Total Ridership,271,22
46,July,Total Vehicle Hours,93.5,22
46,July,Weekday Vehicle Hours,93.5,22
56,July,Weekday Ridership,946,22
56,July,Total Ridership,946,22
56,July,Total Vehicle Hours,224.76666666666668,22
56,July,Weekday Vehicle Hours,224.76666666666668,22
Urban 86,July,Weekday Ridership,2000,22
Urban 86,July,Total Ridership,2000,22
Urban 86,July,Total Vehicle Hours,296.7,22
Urban 86,July,Weekday Vehicle Hours,296.7,22
Rural 86,July,Weekday Ridership,1849,22
Rural 86,July,Total Ridership,1849,22
Rural 86,July,Total Vehicle Hours,274.75,22
Rural 86,July,Weekday Vehicle Hours,274.75,22
96,July,Weekday Ridership,744,22
96,July,Total Ridership,744,22
96,July,Total Vehicle Hours,190.66666666666669,22
96,July,Weekday Vehicle Hours,190.66666666666669,22
1,August,Weekday Ridership,34412,22
1,August,Saturday Ridership,9041,5
1,August,Sunday Ridership,2409,4
1,August,Total Ridership,45862,31
1,August,Total Vehicle Hours,1882.2333333333331,31
1,August,Weekday Vehicle Hours,1568.2333333333331,22
1,August,Saturday Vehicle Hours,222.66666666666669,5
1,August,Sunday Vehicle Hours,91.33333333333333,4
2,August,Weekday Ridership,29197,22
2,August,Saturday Ridership,3907,5
2,August,Sunday Ridership,1362,4
2,August,Total Ridership,34466,31
2,August,Total Vehicle Hours,1818.8,31
2,August,Weekday Vehicle Hours,1541.4666666666667,22
2,August,Saturday Vehicle Hours,195,5
2,August,Sunday Vehicle Hours,82.33333333333333,4
3,August,Weekday Ridership,69,22
3,August,Total Ridership,69,22
3,August,Total Vehicle Hours,12.833333333333332,22
3,August,Weekday Vehicle Hours,12.833333333333332,22
5,August,Weekday Ridership,4415,22
5,August,Saturday Ridership,597,5
5,August,Sunday Ridership,201,4
5,August,Total Ridership,5213,31
5,August,Total Vehicle Hours,576.4166666666667,31
5,August,Weekday Vehicle Hours,451,22
5,August,Saturday Vehicle Hours,97.08333333333334,5
5,August,Sunday Vehicle Hours,28.333333333333332,4
6,August,Weekday Ridership,17645,22
6,August,Saturday Ridership,3199,5
6,August,Sunday Ridership,409,4
6,August,Total Ridership,21253,31
6,August,Total Vehicle Hours,1202.0666666666668,31
6,August,Weekday Vehicle Hours,1016.4000000000001,22
6,August,Saturday Vehicle Hours,156,5
6,August,Sunday Vehicle Hours,29.666666666666668,4
7,August,Weekday Ridership,15965,22
7,August,Saturday Ridership,2456,5
7,August,Sunday Ridership,700,4
7,August,Total Ridership,19121,31
7,August,Total Vehicle Hours,950.55,31
7,August,Weekday Vehicle Hours,785.2166666666666,22
7,August,Saturday Vehicle Hours,129,5
7,August,Sunday Vehicle Hours,36.333333333333336,4
8,August,Weekday Ridership,4146,22
8,August,Saturday Ridership,772,5
8,August,Sunday Ridership,212,4
8,August,Total Ridership,5130,31
8,August,Total Vehicle Hours,458.98333333333335,31
8,August,Weekday Vehicle Hours,356.03333333333336,22
8,August,Saturday Vehicle Hours,74.75,5
8,August,Sunday Vehicle Hours,28.2,4
9,August,Weekday Ridership,10716,22
9,August,Saturday Ridership,1308,5
9,August,Total Ridership,12024,27
9,August,Total Vehicle Hours,750.6333333333332,27
9,August,Weekday Vehicle Hours,667.4666666666666,22
9,August,Saturday Vehicle Hours,83.16666666666666,5
10,August,Weekday Ridership,1565,22
10,August,Saturday Ridership,205,5
10,August,Total Ridership,1770,27
10,August,Total Vehicle Hours,363.0833333333333,27
10,August,Weekday Vehicle Hours,297,22
10,August,Saturday Vehicle Hours,66.08333333333333,5
11,August,Weekday Ridership,9777,22
11,August,Saturday Ridership,2089,5
11,August,Sunday Ridership,727,4
11,August,Total Ridership,12593,31
11,August,Total Vehicle Hours,898.8166666666666,31
11,August,Weekday Vehicle Hours,703.2666666666667,22
11,August,Saturday Vehicle Hours,150.75,5
11,August,Sunday Vehicle Hours,44.8,4
21,August,Weekday Ridership,1243,22
21,August,Total Ridership,1243,22
21,August,Total Vehicle Hours,61.25,22
21,August,Weekday Vehicle Hours,61.25,22
36,August,Weekday Ridership,693,22
36,August,Total Ridership,693,22
36,August,Total Vehicle Hours,211.8666666666667,22
36,August,Weekday Vehicle Hours,211.8666666666667,22
46,August,Weekday Ridership,398,22
46,August,Total Ridership,398,22
46,August,Total Vehicle Hours,93.5,22
46,August,Weekday Vehicle Hours,93.5,22
56,August,Weekday Ridership,1029,22
56,August,Total Ridership,1029,22
56,August,Total Vehicle Hours,224.76666666666668,22
56,August,Weekday Vehicle Hours,224.76666666666668,22
Urban 86,August,Weekday Ridership,1921,22
Urban 86,August,Total Ridership,1921,22
Urban 86,August,Total Vehicle Hours,302.35,22
Urban 86,August,Weekday Vehicle Hours,302.35,22
Rural 86,August,Weekday Ridership,1688,22
Rural 86,August,Total Ridership,1688,22
Rural 86,August,Total Vehicle Hours,287.83333333333337,22
Rural 86,August,Weekday Vehicle Hours,287.83333333333337,22
96,August,Weekday Ridership,863,22
96,August,Total Ridership,863,22
96,August,Total Vehicle Hours,190.66666666666669,22
96,August,Weekday Vehicle Hours,190.66666666666669,22
1,September,Weekday Ridership,45026,20
1,September,Saturday Ridership,9803,4
1,September,Sunday Ridership,7069,5
1,September,Total Ridership,61898,29
1,September,Total Vehicle Hours,1717.9666666666667,29
1,September,Weekday Vehicle Hours,1425.6666666666665,20
1,September,Saturday Vehicle Hours,178.13333333333335,4
1,September,Sunday Vehicle Hours,114.16666666666666,5
2,September,Weekday Ridership,39815,20
2,September,Saturday Ridership,3910,4
2,September,Sunday Ridership,3172,5
2,September,Total Ridership,46897,29
2,September,Total Vehicle Hours,1660.2500000000002,29
2,September,Weekday Vehicle Hours,1401.3333333333335,20
2,September,Saturday Vehicle Hours,156,4
2,September,Sunday Vehicle Hours,102.91666666666666,5
3,September,Weekday Ridership,41,20
3,September,Total Ridership,41,20
3,September,Total Vehicle Hours,11.666666666666664,20
3,September,Weekday Vehicle Hours,11.666666666666664,20
5,September,Weekday Ridership,5515,20
5,September,Saturday Ridership,878,4
5,September,Sunday Ridership,490,5
5,September,Total Ridership,6883,29
5,September,Total Vehicle Hours,523.0833333333334,29
5,September,Weekday Vehicle Hours,410,20
5,September,Saturday Vehicle Hours,77.66666666666667,4
