month,route,weekday_monthly_vh,weekday_monthly_ridership,weekdays,saturday_monthly_vh,saturday_monthly_ridership,saturdays,sunday_monthly_vh,sunday_monthly_ridership,sundays,total_vh,total_ridership,total_service_days
July,1,1149.8666666666666,21002,22,181.8,3502,4,92.33333333333333,1660,4,1423.9999999999998,26164,30
August,1,1089.5166666666667,28497,21,226.36666666666667,8260,5,115.41666666666666,4823,5,1431.3,41580,31
September,1,1063.65,37620,21,178.26666666666668,8609,4,92.33333333333333,4649,4,1334.25,50878,29
October,1,1164.95,41838,23,178.26666666666668,8242,4,92.33333333333333,4179,4,1435.55,54259,31
November,1,962.3500000000001,28440,19,222.83333333333334,6742,5,115.41666666666666,4437,5,1300.6000000000001,39619,29
December,1,1114.3000000000002,22283,22,178.26666666666668,3280,4,92.33333333333333,1822,4,1384.9,27385,30
July,11,654.1333333333333,9530,22,91.33333333333333,906,4,0,0,4,745.4666666666667,10436,26
August,11,626.5666666666666,11288,21,116.58333333333333,2362,5,0,0,5,743.15,13650,26
September,11,633.5,11697,21,100.99999999999999,2617,4,0,0,4,734.5,14314,25
October,11,693.8333333333333,13001,23,100.99999999999999,2167,4,0,0,4,794.8333333333333,15168,27
November,11,573.1666666666666,8692,19,126.24999999999999,2066,5,0,0,5,699.4166666666666,10758,24
December,11,663.6666666666666,7101,22,100.99999999999999,757,4,0,0,4,764.6666666666666,7858,26
July,2,1039.8666666666668,22592,22,157,2445,4,82.66666666666667,1231,4,1279.5333333333335,26268,30
August,2,1095.3500000000001,25910,21,196,3523,5,103.33333333333334,1919,5,1394.6833333333334,31352,31
September,2,1424.1500000000003,36914,21,156,3278,4,82.66666666666667,1604,4,1662.816666666667,41796,29
October,2,1559.7833333333335,40655,23,156,2761,4,82.66666666666667,1452,4,1798.4500000000003,44868,31
November,2,1288.5166666666669,29368,19,195,2791,5,103.33333333333334,1523,5,1586.8500000000001,33682,29
December,2,1491.966666666667,24113,22,156,1673,4,82.66666666666667,917,4,1730.6333333333337,26703,30
August,21,36,684,21,0,0,5,0,0,5,36,684,21
September,21,252,7222,21,0,0,4,0,0,4,252,7222,21
October,21,240,7137,23,0,0,4,0,0,4,240,7137,23
November,21,180,5370,19,0,0,5,0,0,5,180,5370,19
December,21,204,5593,22,0,0,4,0,0,4,204,5593,22
July,4,165.73333333333332,424,22,0,0,4,0,0,4,165.73333333333332,426,22
August,4,154.45,435,21,0,0,5,0,0,5,154.45,435,21
September,4,142.45,751,21,0,0,4,0,0,4,142.45,751,21
October,4,156.01666666666665,664,23,0,0,4,0,0,4,156.01666666666665,664,23
November,4,128.88333333333333,628,19,0,0,5,0,0,5,128.88333333333333,628,19
December,4,149.23333333333332,638,22,0,0,4,0,0,4,149.23333333333332,638,22
July,5,424.6,4183,22,43.53333333333334,313,4,0,0,4,468.1333333333334,4496,26
August,5,414.8,4421,21,53.50000000000001,521,5,0,0,5,468.3,4942,26
September,5,445.2,6304,21,39.86666666666667,386,4,0,0,4,485.06666666666666,6690,25
October,5,487.59999999999997,6592,23,39.86666666666667,452,4,0,0,4,527.4666666666666,7044,27
November,5,402.8,4735,19,49.833333333333336,557,5,0,0,5,452.6333333333333,5292,24
December,5,466.4,4943,22,39.86666666666667,247,4,0,0,4,506.26666666666665,5190,26
July,56,214.13333333333333,821,22,0,0,4,0,0,4,214.13333333333333,821,22
August,56,155.73333333333332,651,21,0,0,5,0,0,5,155.73333333333332,651,21
July,6,851.7666666666667,16025,22,113.26666666666667,2017,4,0,0,4,965.0333333333333,18042,26
August,6,843.7166666666667,15206,21,141.55,2640,5,0,0,5,985.2666666666667,17846,26
September,6,941.85,16853,21,113.13333333333333,2192,4,0,0,4,1054.9833333333333,19045,25
October,6,1031.55,17572,23,113.13333333333333,2214,4,0,0,4,1144.6833333333334,19786,27
November,6,852.15,14005,19,141.41666666666666,2375,5,0,0,5,993.5666666666666,16380,24
December,6,986.7,14513,22,113.13333333333333,1668,4,0,0,4,1099.8333333333335,16181,26
July,7,653.0333333333333,12349,22,87.2,1698,4,0,0,4,740.2333333333333,14047,26
August,7,665.1,13119,21,108.45,2599,5,0,0,5,773.5500000000001,15718,26
September,7,798.6999999999999,21619,21,85,1639,4,0,0,4,883.6999999999999,23258,25
October,7,874.7666666666667,21690,23,85,1662,4,0,0,4,959.7666666666667,23352,27
November,7,722.6333333333333,16574,19,106.25,1698,5,0,0,5,828.8833333333333,18272,24
December,7,836.7333333333333,15794,22,85,1346,4,0,0,4,921.7333333333333,17140,26
July,756,0,0,22,0,0,4,18.666666666666668,163,4,18.666666666666668,163,4
August,756,0,0,21,0,0,5,23.333333333333336,273,5,23.333333333333336,273,5
September,756,0,0,21,0,0,4,18.666666666666668,316,4,18.666666666666668,316,4
October,756,0,0,23,0,0,4,18.666666666666668,159,4,18.666666666666668,159,4
November,756,0,0,19,0,0,5,23.333333333333336,313,5,23.333333333333336,313,5
December,756,0,0,22,0,0,4,18.666666666666668,199,4,18.666666666666668,199,4
July,778,0,0,22,0,0,4,24,384,4,24,384,4
August,778,0,0,21,0,0,5,30,816,5,30,816,5
September,778,0,0,21,0,0,4,24,488,4,24,488,4
October,778,0,0,23,0,0,4,24,514,4,24,514,4
November,778,0,0,19,0,0,5,30,488,5,30,488,5
December,778,0,0,22,0,0,4,24,410,4,24,410,4
July,8,174.53333333333333,1873,22,43.46666666666666,210,4,0,0,4,218,2083,26
August,8,173.76666666666665,2093,21,52.783333333333324,460,5,0,0,5,226.54999999999998,2553,26
September,8,196.69999999999996,2711,21,37.26666666666666,318,4,0,0,4,233.9666666666666,3029,25
October,8,215.4333333333333,2899,23,37.26666666666666,225,4,0,0,4,252.69999999999996,3124,27
November,8,177.96666666666664,2382,19,46.58333333333332,336,5,0,0,5,224.54999999999995,2718,24
December,8,206.06666666666663,1954,22,37.26666666666666,196,4,0,0,4,243.3333333333333,2150,26
July,86,386.1,2998,22,0,0,4,0,0,4,386.1,2998,22
August,86,373.05,2800,21,0,0,5,0,0,5,373.05,2800,21
September,86,387.45000000000005,3485,21,0,0,4,0,0,4,387.45000000000005,3485,21
October,86,424.35,3534,23,0,0,4,0,0,4,424.35,3534,23
November,86,350.55000000000007,2834,19,0,0,5,0,0,5,350.55000000000007,2834,19
December,86,405.9,2899,22,0,0,4,0,0,4,405.9,2899,22
July,9,627.7333333333333,10378,22,41,656,4,0,0,4,668.7333333333333,11034,26
August,9,602.6999999999999,8022,21,51.266666666666666,777,5,0,0,5,653.9666666666666,8799,26
September,9,613.9,10442,21,41.06666666666666,612,4,0,0,4,654.9666666666667,11054,25
October,9,672.3666666666666,11340,23,41.06666666666666,723,4,0,0,4,713.4333333333332,12063,27
November,9,555.4333333333333,8933,19,51.33333333333333,804,5,0,0,5,606.7666666666667,9737,24
December,9,643.1333333333333,9467,22,41.06666666666666,615,4,0,0,4,684.2,10082,26
July,96,229.16666666666666,910,22,0,0,4,0,0,4,229.16666666666666,910,22
August,96,231.91666666666666,1121,21,0,0,5,0,0,5,231.91666666666666,1121,21
September,96,274.05,1463,21,0,0,4,0,0,4,274.05,1463,21
October,96,300.15000000000003,1659,23,0,0,4,0,0,4,300.15000000000003,1659,23
November,96,247.95000000000002,1145,19,0,0,5,0,0,5,247.95000000000002,1145,19
December,96,287.1,1020,22,0,0,4,0,0,4,287.1,1020,22
