month,route,weekday_monthly_vrh,weekday_monthly_ridership,saturday_monthly_vrh,saturday_monthly_ridership,sunday_monthly_vrh,sunday_monthly_ridership,total_vrh,total_ridership
July,1,1265,19873,149.2,2028,87,1468,1501.2,23369
July,11,534.75,6990,59.25,615,0,0,594,7605
July,2,1063.3666666666668,19007,125.25,1635,80.66666666666667,1191,1269.2833333333335,21833
July,4,124.58333333333334,560,0,0,0,0,124.58333333333334,560
July,5,394.83333333333326,4271,30.75,195,0,0,425.58333333333326,4466
July,6,884.7333333333333,15644,85.6,1277,0,0,970.3333333333334,16921
July,7,552.3833333333333,11558,63.95,884,0,0,616.3333333333334,12442
July,756,0,0,0,0,16.666666666666668,180,16.666666666666668,180
July,778,0,0,0,0,23,334,23,334
July,8,198.18333333333334,1505,28.349999999999998,115,0,0,226.53333333333333,1620
July,86,417.45,2801,0,0,0,0,417.45,2801
July,9,624.0666666666666,10592,30.799999999999997,428,0,0,654.8666666666666,11020
July,96,304.3666666666667,1134,0,0,0,0,304.3666666666667,1134
