year,month,route,stop_id,stop_name,municipality,total_boardings,pct_total_boardings,pct_route_boardings,latitude,longitude
2025,July,1,2530427,Williston Road at Mills Avenue,South Burlington,50,4.223294000388543e-4,0.0018664377169733846,44.46454655929074,-73.1600798058771
2025,July,1,2562322,Downtown Transit Center,Burlington,7647,0.06459105844194238,0.28545298443390943,44.479731,-73.214298
2025,July,1,805484,S. Winooski Avenue at Bank Street,Burlington,1651,0.01394531678928297,0.06162977341446116,44.478387,-73.211225
2025,July,1,805485,Main Street at S. Winooski,Burlington,390,0.0032941693203030636,0.0145582141923924,44.475929,-73.21056
2025,July,1,805486,Main Street at S. Union Street,Burlington,280,0.002365044640217584,0.010452051215050953,44.47603,-73.20863
2025,July,1,805487,Main Street at S. Willard Street,Burlington,478,0.0040374690643714475,0.017843144574265557,44.476129,-73.205639
2025,July,1,805488,Main Street at S. Prospect Street,Burlington,281,0.002373491228218361,0.010489379969390422,44.476288,-73.200853
2025,July,1,805490,University Heights,Burlington,984,0.008311442592764652,0.03673149427003621,44.474407,-73.194645
2025,July,1,805491,Dorset Street at Williston Road,South Burlington,432,0.0036489260163357013,0.016126021874650044,44.46822,-73.18168
2025,July,1,805492,Dorset Street at Peoples United Bank,South Burlington,529,0.004468245052411079,0.019746911045578408,44.46717,-73.18152
2025,July,1,805493,University Mall,South Burlington,1946,0.01643706024951221,0.07264175594460413,44.464155,-73.183593
2025,July,1,805500,Williston Road at Heath Street,South Burlington,16,1.351454080124334e-4,5.972600694314831e-4,44.46633,-73.1689
2025,July,1,805501,Williston Road at Davis Parkway,South Burlington,3,2.5339764002331257e-5,1.1198626301840307e-4,44.46617,-73.16793
2025,July,1,805502,Williston Road at Hayden Parkway,South Burlington,6,5.0679528004662515e-5,2.2397252603680614e-4,44.46578,-73.16625
2025,July,1,805503,Williston Road at Elsom Parkway,South Burlington,15,1.266988200116563e-4,5.599313150920154e-4,44.46537,-73.16438
2025,July,1,805504,Williston Road at Victoria Drive,South Burlington,20,1.6893176001554172e-4,7.465750867893539e-4,44.46483,-73.16207
2025,July,1,805505,Williston Road at Mills Avenue,South Burlington,29,2.449510520225355e-4,0.001082533875844563,44.46438,-73.16013
2025,July,1,805529,Dorset Street at Barnes & Noble,South Burlington,1597,0.013489201037241006,0.05961402068012991,44.466905,-73.181203
2025,July,1,805530,Williston Road at Sheraton Hotel,South Burlington,251,0.0021200935881950486,0.009369517339206391,44.471703,-73.188163
2025,July,1,805531,University Heights,Burlington,592,0.005000380096460035,0.022098622568964874,44.474675,-73.194658
2025,July,1,805533,Main Street at S. Willard Street,Burlington,16,1.351454080124334e-4,5.972600694314831e-4,44.47623,-73.205
2025,July,1,805534,Main Street at S Union Street,Burlington,27,2.2805787602098133e-4,0.0010078763671656278,44.47612,-73.20933
2025,July,1,805535,Main Street at Church Street,Burlington,1,8.446588000777087e-6,3.732875433946769e-5,44.47602,-73.21237
2025,July,1,805867,Main Street at Summit Street,Burlington,345,0.002914072860268095,0.012878420247116353,44.4762026495925,-73.2025125186516
2025,July,1,805870,Main Street at Opposite Edmunds School,Burlington,9,7.601929200699377e-5,3.359587890552092e-4,44.476195,-73.207487
2025,July,1,805875,Main Street at Opposite Summit Street,Burlington,24,2.0271811201865006e-4,8.958901041472246e-4,44.47635535963188,-73.20248690152883
2025,July,1,805895,Marshall Avenue at Harvest Lane,Williston,9,7.601929200699377e-5,3.359587890552092e-4,44.445714,-73.117377
2025,July,1,805896,Williston Road at N. Brownell Road,Williston,209,0.001765336892162411,0.0078017096569487476,44.45493,-73.12297
2025,July,1,805904,Williston Road at S. Brownell Road,Williston,33,2.787374040256438e-4,0.001231848893202434,44.455,-73.12343
2025,July,1,805943,University Mall at Stop sign at Hannafords,South Burlington,564,0.004763875632438277,0.02105341744745978,44.463252,-73.183412
2025,July,1,805946,Williston Road at Staples Plaza,South Burlington,158,0.0013345609041227795,0.005897943185635896,44.471708,-73.188722
2025,July,1,805947,Dorset Street at Blue Mall,South Burlington,889,0.007509016732690829,0.03318526260778678,44.46448,-73.18078
2025,July,1,805960,Williston Road at Kennedy Drive,South Burlington,60,5.067952800466252e-4,0.0022397252603680614,44.46303,-73.15443
2025,July,1,805964,Marshall Avenue at Trader Lane,Williston,468,0.003953003184363676,0.01746985703087088,44.44518,-73.1158
2025,July,1,805973,Marshall Avenue at Hannafords,Williston,46,3.8854304803574594e-4,0.001717122699615514,44.445047,-73.114986
2025,July,1,805974,Walmart,Williston,1904,0.01608230355347957,0.07107394826234649,44.442322707648174,-73.12123792821498
2025,July,1,805975,Williston Road at HoHum Motel,South Burlington,94,0.00079397927207304605,0.003508902907909963,44.464255,-73.158906
2025,July,1,805976,Williston Road at Thrifty,South Burlington,173,0.001461259724134436,0.006457874500727911,44.46355,-73.1558
2025,July,1,805977,Williston Road at Victory Drive,South Burlington,33,2.787374040256438e-4,0.001231848893202434,44.465096,-73.162601
2025,July,1,805978,Williston Road at Pillsbury Manor,South Burlington,44,3.716498720341918e-4,0.0016424651909365785,44.465579,-73.164727
2025,July,1,805979,Williston Road at Patchen Road,South Burlington,420,0.003547566960326376,0.01567807682257643,44.466939000000004,-73.170813
2025,July,1,805996,Williston Road at Helena Drive,Williston,693,0.005853485484538521,0.02586882675725111,44.45038,-73.11262
2025,July,1,805997,Williston Road at Blair Park Road,Williston,404,0.003412421552313943,0.015080816753144948,44.45255,-73.11755
2025,July,1,806043,Marshall Avenue at Gardeners Supply,Williston,3,2.5339764002331257e-5,1.1198626301840307e-4,44.44588,-73.11962
2025,July,1,806044,Harvest Lane at Marshall Avenue,Williston,3,2.5339764002331257e-5,1.1198626301840307e-4,44.44467,-73.12133
2025,July,1,806045,Williston Road at Williston Liquidation Center,Williston,92,7.770860960714919e-4,0.003434245399231028,44.45728,-73.12797
2025,July,1,806064,Williston Road at Aviation Avenue,South Burlington,22,1.858249360170959e-4,8.212325954682892e-4,44.46058,-73.14902
2025,July,1,806069,University Mall at Sears,South Burlington,393,0.0033195090843053947,0.014670200455410802,44.463197,-73.18201
2025,July,1,806076,Williston Road at Citgo,South Burlington,105,8.86891740081594e-4,0.003919519205644107,44.46758,-73.17477
2025,July,1,806077,Williston Road at Blockbuster,South Burlington,213,0.0017991232441655193,0.007951024674306618,44.46705,-73.17215
2025,July,1,806078,Williston Road at VT Tire,South Burlington,17,1.4359199601321045e-4,6.345888237709508e-4,44.462,-73.15225
2025,July,1,806079,Williston Road at Ace Hardware,South Burlington,7,5.9126116005439605e-5,2.613012803762738e-4,44.46055,-73.1492
2025,July,1,806080,Williston Road at Talent Skate Park,South Burlington,8,6.75727040062167e-5,2.9863003471574154e-4,44.45882,-73.14568
2025,July,1,806081,Williston Road at Shunpike Road,South Burlington,18,1.5203858401398754e-4,6.719175781104184e-4,44.45842,-73.1429
2025,July,1,806082,Williston Road at Engineers Drive,Williston,21,1.7737834801631881e-4,7.839038411288215e-4,44.4582,-73.1327
2025,July,1,806083,Williston Road at Commerce Street,Williston,3,2.5339764002331257e-5,1.1198626301840307e-4,44.45337,-73.11968
2025,July,1,806084,Williston Road at Harvest Lane,Williston,30,2.533976400233126e-4,0.0011198626301840307,44.4521,-73.11688
2025,July,1,806085,Williston Road at VT 2A,Williston,21,1.7737834801631881e-4,7.839038411288215e-4,44.45023,-73.11262
2025,July,1,806086,VT 2A at Key Bank,Williston,43,3.632032840334147e-4,0.0016051364365971107,44.44872,-73.11095
2025,July,1,806087,VT 2A at Wright Avenue,Williston,37,3.125237560287522e-4,0.0013811639105603046,44.44722,-73.11105
2025,July,1,806088,VT 2A at Marshall Avenue (Ponderosa),Williston,35,2.95630580027198e-4,0.0013065064018813691,44.444733,-73.112287
2025,July,1,806096,VT 2A at Connor Way,Williston,1243,0.010499108884965918,0.04639964164395834,44.446816,-73.110949
2025,July,1,806112,Williston Road at Miller Lane,Williston,139,0.001174075732108015,0.005188696853186009,44.45833,-73.13283
2025,July,1,806113,Williston Rd. at Valley Rd,South Burlington,146,0.0012332018481134546,0.005449998133562283,44.45853,-73.142534
2025,July,1,806114,Williston Road at Contact Communication,South Burlington,51,4.307759880396314e-4,0.0019037664713128523,44.45962,-73.14707
2025,July,1,806115,Williston Road at Kennedy Drive,South Burlington,41,3.4631010803186054e-4,0.0015304789279181753,44.462212,-73.152297
2025,July,1,806116,Williston Road at Stone House Commons,South Burlington,85,7.179599800660523e-4,0.0031729441188547538,44.466486,-73.168721
2025,July,2,2562322,Downtown Transit Center,Burlington,6484,0.05476767659703863,0.24366779406238256,44.479731,-73.214298
2025,July,2,4209790,E Allen Street at Hillside Park,Winooski,185,0.001562618780143761,0.0069522735813603905,44.4930287162322,-73.1758636133916
2025,July,2,805752,Pearl Street at Hungerford Terrace,Burlington,368,0.0031083443842859675,0.013829387448327696,44.480581,-73.207105
2025,July,2,805753,Pearl Street at S. Willard Street,Burlington,294,0.0024832968722284634,0.01104847801578354,44.480612,-73.205833
2025,July,2,805754,Pearl Street at S Prospect Street (UHC),Burlington,261,0.0022045594682028194,0.009808342728297632,44.480731,-73.201381
2025,July,2,805755,Colchester Avenue at Mansfield House,Burlington,232,0.001959608416180284,0.008718526869597896,44.480579,-73.198914
2025,July,2,805756,Colchester Avenue at Fleming Museum,Burlington,168,0.0014190267841305505,0.006313416009019166,44.4805912625953,-73.1968665240963
2025,July,2,805757,UVM Medical Center,Burlington,3382,0.028566360618628106,0.12709507703870726,44.4786566641105,-73.1939696441803
2025,July,2,805758,Colchester Avenue at Latham Court,Burlington,38,3.2097034402952927e-4,0.0014280345734686208,44.482512,-73.191938
2025,July,2,805759,Colchester Avenue at Thibault Parkway,Burlington,51,4.307759880396314e-4,0.0019165727170236753,44.483129,-73.190514
2025,July,2,805760,Colchester Avenue at 339,Burlington,23,1.9427152401787297e-4,8.64336715520481e-4,44.484018,-73.188415
2025,July,2,805761,Colchester Avenue at Chase Street,Burlington,20,1.6893176001554172e-4,7.51597143930853e-4,44.486436,-73.186976
2025,July,2,805762,Colchester Avenue at Barrett Street,Burlington,51,4.307759880396314e-4,0.0019165727170236753,44.487802,-73.186696
2025,July,2,805763,Winooski Falls/Champlain Mill,Winooski,645,0.00544804926050122,0.024239007891770012,44.490191,-73.184595
2025,July,2,805765,College Parkway at Opposite Florida Avenue,Colchester,33,2.787374040256438e-4,0.0012401352874859075,44.493226,-73.170992
2025,July,2,805766,Saint Michael's College,Colchester,91,7.686395080707148e-4,0.0034197670048853814,44.493011,-73.167889
2025,July,2,805767,College Parkway at Lime Kiln Road,Colchester,60,5.067952800466252e-4,0.002254791431792559,44.492695,-73.163626
2025,July,2,805768,College Parkway at Fanny Allen Hospital,Colchester,222,0.001875142536172513,0.00834272829763247,44.497364,-73.158333
2025,July,2,805769,Ethan Allen Avenue at University Lane,Colchester,73,6.166009240567273e-4,0.002743329575347614,44.502994,-73.151287
2025,July,2,805770,Ethan Allen Avenue at Catamount Lane,Colchester,46,3.8854304803574594e-4,0.001728673431040962,44.503446,-73.150975
2025,July,2,805771,Ethan Allen Avenue at VT Public TV,Colchester,105,8.86891740081594e-4,0.003945885005636978,44.50475,-73.149892
2025,July,2,805775,Ethan Allen Avenue at Opposite Green Mt. Nursing,Essex,76,6.419406880590585e-4,0.0028560691469372416,44.506784,-73.145364
2025,July,2,805776,Ethan Allen Avenue at Essex Avenue (Bld. #310),Essex,56,4.7300892804351684e-4,0.0021044720030063886,44.50543,-73.143241
2025,July,2,805777,Pearl Street at West Street Extension,Essex Junction,44,3.716498720341918e-4,0.0016535137166478768,44.49952282479167,-73.13062824322117
2025,July,2,805778,Pearl Street at Opposite Complex 159,Essex Junction,17,1.4359199601321045e-4,6.388575723412251e-4,44.497858,-73.127775
2025,July,2,805779,Pearl Street at Opposite Willey's Court,Essex Junction,8,6.75727040062167e-5,3.006388575723412e-4,44.4968059911076,-73.1254138552707
2025,July,2,805780,Pearl Street at KFC,Essex Junction,7,5.9126116005439605e-5,2.6305900037579857e-4,44.496383,-73.124482
2025,July,2,805781,Pearl Street at Capital Lincoln,Essex Junction,60,5.067952800466252e-4,0.002254791431792559,44.495081,-73.121634
2025,July,2,805782,Pearl Street at Roscoe Court (Shopping Center),Essex Junction,34,2.871839920264209e-4,0.0012777151446824503,44.494046,-73.119419
2025,July,2,805783,Pearl Street at Merchants Bank,Essex Junction,8,6.75727040062167e-5,3.006388575723412e-4,44.492685,-73.11657
2025,July,2,805792,Amtrak,Essex Junction,1377,0.011630951677070048,0.051747463359639236,44.492655,-73.110355
2025,July,2,805793,Lincoln Street at Brownell Library,Essex Junction,497,0.004197954236386212,0.0186771890266817,44.49122,-73.11107
2025,July,2,805794,Pearl Street at Summit Street,Essex Junction,77,6.503872760598357e-4,0.0028936490041337843,44.492274,-73.1155
2025,July,2,805795,Pearl Street at Hillcrest Road (Jiffy Lube),Essex Junction,149,0.0012585416121157857,0.005599398722284855,44.493225,-73.117389
2025,July,2,805796,Pearl Street at Essex Junction Shopping Center.,Essex Junction,589,0.004975040332457704,0.022134535888763622,44.494521,-73.120046
2025,July,2,805797,Pearl Street at Gate A Fairgrounds,Essex Junction,533,0.004502031404414187,0.020030063885757236,44.4956,-73.122406
2025,July,2,805798,Pearl Street at Willey's Court,Essex Junction,203,0.0017146573641577485,0.007628711010898159,44.49691,-73.125335
2025,July,2,805799,Pearl Street at Complex 159,Essex Junction,107,9.037849160831482e-4,0.004021044720030064,44.497953,-73.127588
2025,July,2,805800,Pearl Street at West Street (U-Turn),Essex Junction,131,0.0011065030281017982,0.004922961292747088,44.499922,-73.130796
2025,July,2,805801,Pearl Street at 197 Pearl Inc.,Essex Junction,63,5.321350440489564e-4,0.0023675310033821873,44.50076,-73.132168
2025,July,2,805802,Pearl Street at Contois Music,Essex Junction,50,4.223294000388543e-4,0.0018789928598271326,44.501798,-73.133839
2025,July,2,805803,Pearl Street at 241 Pearl Apartments,Essex Junction,76,6.419406880590585e-4,0.0028560691469372416,44.502877,-73.135618
2025,July,2,805804,Pearl Street at Susie Wilson Road,Essex,389,0.0032857227323022866,0.014618564449455092,44.504157,-73.139286
2025,July,2,805805,Ethan Allen Avenue at Laurette Drive,Essex,195,0.0016470846601515318,0.007328072153325817,44.504828,-73.142164
2025,July,2,805806,Ethan Allen Avenue at Green Mtn. Nursing,Colchester,191,0.0016132983081484234,0.007177752724539647,44.506969,-73.145567
2025,July,2,805808,Ethan Allen Avenue at Sloane Hall,Colchester,164,0.0013852404321274422,0.006163096580232995,44.50465687088816,-73.15017664095814
2025,July,2,805809,Ethan Allen Avenue at Catamount Lane,Colchester,217,0.0018329095961686277,0.008154829011649756,44.504317,-73.150454
2025,July,2,805810,Ethan Allen Avenue at Barnes Avenue,Colchester,428,0.0036151396643325927,0.016084178880120256,44.502712,-73.15154
2025,July,2,805811,College Parkway at Cumberland Farms,Colchester,284,0.0023988309922206926,0.010672679443818113,44.497571,-73.158398
2025,July,2,805812,College Parkway at Johnson Avenue,Colchester,250,0.0021116470001942716,0.009394964299135663,44.496917,-73.15976
2025,July,2,805813,College Parkway at Campus Rd. (Saint Mikes East Entrance),Colchester,393,0.0033195090843053947,0.014768883878241263,44.4948981253552,-73.1618200255496
2025,July,2,805814,Saint Michael's College,Colchester,157,0.0013261143161220025,0.0059000375798571965,44.49346454402722,-73.16288269076387
2025,July,2,805815,College Parkway at Campus Rd. (Saint Mikes West Entrance),Colchester,380,0.003209703440295293,0.014280345734686208,44.493114,-73.166998
2025,July,2,805816,College Parkway at Florida Avenue,Colchester,146,0.0012332018481134546,0.005486659150695228,44.493376,-73.171038
2025,July,2,805817,E Allen Street at Dion Street,Winooski,470,0.00396989636036523,0.017662532882375046,44.4932242751315,-73.1756392046093
